Original Prediction,Prediction 1,Prediction 2,Prediction 3,Iter Num,Averaged NC,L2 Distance
jay,quail,jay,jay,17,0.5248643941875235,14227.056230998738
dishrag,pillow,dishrag,dishrag,11,0.5580808282539403,13415.250463558255
daisy,daisy,daisy,daisy,19,0,0
lynx,lion,lynx,lynx,8,0.591337205122265,14410.199790426224
bald_eagle,kite,bald_eagle,bald_eagle,1,0.6004521525175948,14512.060122532568
steel_arch_bridge,suspension_bridge,steel_arch_bridge,steel_arch_bridge,4,0.6103419902699334,14414.675126411972
lacewing,admiral,lacewing,lacewing,4,0.6393644301360452,14475.953543722086
papillon,Shetland_sheepdog,papillon,papillon,9,0.6494619704583037,11757.861752886874
chime,electric_ray,chime,chime,8,0.6568993201735115,13982.68700929832
flamingo,cock,flamingo,flamingo,17,0.6586807691385935,13773.352787175678
colobus,peacock,colobus,colobus,8,0.6618682047308254,14257.917730159617
megalith,megalith,megalith,megalith,19,0,0
loudspeaker,binder,loudspeaker,loudspeaker,14,0.6656308166705278,15637.04678000293
spaghetti_squash,acorn_squash,spaghetti_squash,spaghetti_squash,3,0.6695132570159531,14506.86868348921
castle,castle,traffic_light,castle,17,0.671502408550955,13753.102704480905
yellow_lady's_slipper,yellow_lady's_slipper,tennis_ball,yellow_lady's_slipper,9,0.6788918269038736,12634.818953985847
eggnog,strainer,eggnog,eggnog,2,0.6830698439834157,14462.353439188242
holster,chain_saw,holster,holster,0,0.6854025036148236,14127.272418977416
matchstick,matchstick,pinwheel,matchstick,12,0.6909385759592264,14420.4385855632
soccer_ball,soccer_ball,abacus,soccer_ball,15,0.6927200249243084,12032.56564494871
yellow_lady's_slipper,yellow_lady's_slipper,sulphur_butterfly,yellow_lady's_slipper,3,0.6943576798025228,14370.562341119432
chickadee,jay,chickadee,chickadee,8,0.6950287188745716,14149.699855473968
steam_locomotive,steam_locomotive,steam_locomotive,steam_locomotive,19,0,0
jacamar,hummingbird,jacamar,jacamar,12,0.6973134471436903,14531.180062197289
flamingo,flamingo,flamingo,flamingo,19,0,0
jinrikisha,tricycle,jinrikisha,jinrikisha,6,0.7001413975187532,13821.196402627378
park_bench,stone_wall,park_bench,park_bench,0,0.7006207111416451,12191.43461615572
apiary,rain_barrel,apiary,apiary,6,0.7019867549668874,14199.673482161483
hair_slide,bonnet,hair_slide,hair_slide,0,0.7024660685897794,14049.056480774785
sewing_machine,sewing_machine,sewing_machine,sewing_machine,19,0,0
sturgeon,gar,sturgeon,sturgeon,7,0.70283354236733,13847.109265113784
komondor,komondor,komondor,komondor,19,0,0
violin,violin,violin,violin,19,0,0
bobsled,West_Highland_white_terrier,bobsled,bobsled,17,0.7044232658832552,12204.153145548446
zucchini,corn,zucchini,zucchini,9,0.7048626367042395,14555.092201700407
tree_frog,tree_frog,tree_frog,tree_frog,19,0,0
leafhopper,lycaenid,leafhopper,leafhopper,13,0.704974476549581,13802.467569242826
minibus,police_van,minibus,minibus,11,0.7051741905591193,13265.176101356514
bassinet,cradle,cradle,bassinet,9,0.7056535041820113,12967.575448016487
Boston_bull,Christmas_stocking,Boston_bull,Boston_bull,15,0.7062366690898633,13990.316329518786
fire_screen,vault,fire_screen,fire_screen,4,0.7065242572635986,14352.358621494936
sunscreen,face_powder,sunscreen,sunscreen,4,0.7069716166449644,9618.887669580095
fireboat,container_ship,fireboat,fireboat,10,0.7081858778229575,14160.241346813267
puck,puck,puck,puck,19,0,0
rubber_eraser,carpenter's_kit,rubber_eraser,rubber_eraser,2,0.7100392238314733,14327.007712708191
trifle,cup,trifle,trifle,14,0.7103667548071162,13746.87295351201
holster,chain_saw,holster,holster,0,0.7105904344977991,14553.844887176721
common_iguana,common_iguana,common_iguana,common_iguana,19,0,0
tiger_cat,lynx,tiger_cat,tiger_cat,5,0.7114531990190048,14542.854155907637
theater_curtain,bow_tie,theater_curtain,theater_curtain,12,0.7119964211249491,13335.001012373416
television,cash_machine,television,television,12,0.7121721694533428,14236.998735688643
rocking_chair,rocking_chair,rocking_chair,rocking_chair,19,0,0
groom,groom,groom,groom,19,0,0
borzoi,Shetland_sheepdog,borzoi,borzoi,8,0.7127074029989056,14160.62855243368
brambling,brambling,brambling,brambling,19,0,0
sandbar,sandbar,volcano,sandbar,0,0.7131547623802714,13711.829928933628
parachute,parachute,parachute,parachute,19,0,0
drilling_platform,stupa,drilling_platform,drilling_platform,9,0.7132745907859944,14335.712469214775
partridge,partridge,redshank,partridge,14,0.7133384992690467,13423.051702202447
