Original Prediction,Prediction 1,Prediction 2,Prediction 3,Iter Num,Averaged NC,L2 Distance
jinrikisha,jinrikisha,jinrikisha,jinrikisha,19,0,0
mosque,dome,mosque,mosque,13,0.0012382268591377148,14255.374390032694
football_helmet,ballplayer,football_helmet,football_helmet,14,0.0019811629746203435,14143.830527830854
hoopskirt,hoopskirt,hoopskirt,hoopskirt,19,0,0
revolver,holster,revolver,revolver,9,0.0027720304523921745,14502.54381134565
Irish_terrier,Airedale,Irish_terrier,Irish_terrier,15,0.007005967454605006,12705.830944885109
wreck,wreck,wreck,wreck,19,0,0
bell_pepper,bell_pepper,bell_pepper,bell_pepper,19,0,0
green_snake,green_snake,green_lizard,green_snake,12,0.009762020786234112,14118.109469755502
chickadee,house_finch,chickadee,chickadee,4,0.010009666158061656,14567.309531962312
hair_slide,hair_slide,digital_clock,matchstick,16,0.01681591960312832,12612.302287845783
shopping_cart,garbage_truck,shopping_cart,shopping_cart,3,0.018876968181564,14407.06295537019
disk_brake,disk_brake,disk_brake,disk_brake,19,0,0
coyote,kit_fox,coyote,coyote,6,0.020578531542830666,14947.201343395358
matchstick,sea_urchin,matchstick,matchstick,3,0.027943984214604686,14419.857870312037
butternut_squash,frying_pan,butternut_squash,butternut_squash,1,0.030811877391575263,14258.372978709738
whippet,Saluki,whippet,whippet,6,0.034230981234871664,14514.189333200804
odometer,odometer,sock,odometer,13,0.03874451785043817,11369.291094874825
four-poster,four-poster,sliding_door,four-poster,4,0.03884038057501658,14313.906978878967
drake,drake,drake,drake,19,0,0
cardigan,stole,cardigan,cardigan,7,0.03956733956973614,14387.386837087546
football_helmet,rugby_ball,football_helmet,football_helmet,4,0.041189017327187466,14561.498926964903
dragonfly,dragonfly,dragonfly,dragonfly,19,0,0
barn,barn,barn,barn,19,0,0
honeycomb,dung_beetle,honeycomb,honeycomb,2,0.042035804727630036,14431.055851877229
proboscis_monkey,swing,proboscis_monkey,proboscis_monkey,7,0.04284264932616493,14609.08316767346
yellow_lady's_slipper,sulphur_butterfly,yellow_lady's_slipper,yellow_lady's_slipper,5,0.04441639572132706,14056.885252430568
soft-coated_wheaten_terrier,toy_poodle,soft-coated_wheaten_terrier,soft-coated_wheaten_terrier,16,0.04471996101582534,14242.70609821041
jay,jay,parachute,jay,19,0.05122264916639373,12333.069934124269
slide_rule,slide_rule,envelope,slide_rule,12,0.05205345944607322,14609.680352423868
power_drill,gasmask,power_drill,power_drill,8,0.05210139080836242,14426.408943323353
pick,pinwheel,feather_boa,pick,14,0.054098530903745834,13305.601301707487
papillon,Shetland_sheepdog,papillon,papillon,11,0.05433019915481031,14207.33381039525
seat_belt,notebook,seat_belt,seat_belt,19,0.05455387884549325,4693.754680423765
patas,langur,patas,patas,19,0.055848025627301706,14488.521422146569
orangutan,orangutan,orangutan,orangutan,19,0,0
African_chameleon,agama,African_chameleon,African_chameleon,8,0.06360491775777087,13420.063934273934
electric_locomotive,passenger_car,electric_locomotive,electric_locomotive,2,0.06409221994104443,14424.221018828019
waffle_iron,maraca,waffle_iron,waffle_iron,2,0.06548222944743128,14353.963982120062
bison,water_buffalo,bison,bison,6,0.06865368791890014,14304.438611843529
baseball,baseball,baseball,baseball,19,0,0
hamster,bucket,hamster,hamster,9,0.06966024652697338,13882.258497809353
oystercatcher,oystercatcher,oystercatcher,oystercatcher,19,0,0
skunk,space_heater,skunk,skunk,14,0.07029134279711453,12649.6513390686
envelope,packet,envelope,envelope,9,0.07136180988824004,14468.188276353056
water_snake,night_snake,water_snake,water_snake,8,0.07179319214884286,14494.404368583071
lemon,lemon,lemon,lemon,19,0,0
cello,cello,violin,cello,11,0.0726559566700485,14980.61257091979
dung_beetle,Gila_monster,dung_beetle,dung_beetle,8,0.07290360204187603,13863.594771919727
harp,harp,harp,harp,19,0,0
trifle,trifle,corn,trifle,0,0.07561172401121594,14476.904158002842
microwave,refrigerator,microwave,microwave,10,0.0763386830059355,14522.244489058845
potter's_wheel,electric_fan,potter's_wheel,potter's_wheel,16,0.07773668107270389,12844.357009986916
ambulance,minibus,ambulance,ambulance,13,0.07827191461826664,14526.779615592714
brambling,partridge,partridge,brambling,16,0.07974979828885037,12767.02028666047
pay-phone,pay-phone,scale,pay-phone,6,0.0799974436606779,14539.972799149247
black_swan,black_stork,black_swan,black_swan,12,0.080612562810056,12583.025629791906
caldron,scale,caldron,caldron,5,0.08083624250073894,14707.316342555498
pay-phone,lighter,pay-phone,pay-phone,14,0.08280142835459622,13041.850788902624
sea_snake,running_shoe,sea_snake,sea_snake,1,0.08304907372642376,14539.006087074866
table_lamp,lampshade,table_lamp,table_lamp,2,0.08504621382180717,14840.959268187484
spindle,thimble,spindle,spindle,9,0.08587702410148668,14194.844169627224
teddy,Persian_cat,teddy,teddy,15,0.0884014091820513,12320.850822893684
electric_locomotive,electric_locomotive,electric_locomotive,electric_locomotive,19,0,0
flamingo,flamingo,flamingo,flamingo,19,0,0
partridge,partridge,partridge,partridge,19,0,0
microwave,four-poster,paper_towel,microwave,4,0.08988728141301656,14303.41917165263
flamingo,flamingo,flamingo,flamingo,19,0,0
