Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,L2 Distance
8,2,8,0.9030163288116455,0.38922396302223206,0.804737389087677,0,3137.800184842878
8,8,1,0.6659305095672607,0.7110610604286194,0.7266197204589844,0,2726.808207410268
8,4,4,0.9999364614486694,0.892555296421051,1.0,0,2535.1390494408784
3,3,8,0.999794065952301,0.9965033531188965,0.5325860381126404,5,2619.835872721801
8,6,4,0.7642889618873596,0.9992309808731079,0.9934433698654175,2,2373.8165472504397
3,8,1,0.6299612522125244,0.7293593287467957,0.43315741419792175,0,2741.8169158424857
8,9,9,0.5160319805145264,0.9982031583786011,0.9625938534736633,1,2894.93264170343
8,6,6,0.7088545560836792,0.9999325275421143,0.9944429993629456,1,3664.8240066884523
3,7,7,0.9916002750396729,0.8781865835189819,0.8617821335792542,0,2409.3320651168033
8,8,4,0.6156715750694275,0.9998987913131714,0.5568868517875671,17,2406.82487937947
8,3,8,0.9743301868438721,0.9723930358886719,0.9459256529808044,0,1818.0110010668252
8,6,4,0.9746238589286804,0.9999097585678101,0.9690876603126526,1,2502.0749389256907
2,2,8,0.9809715151786804,0.9997109770774841,0.7580739855766296,1,2350.3752891825593
8,8,4,0.9162497520446777,0.9245373010635376,0.755510687828064,2,1095.7166604556126
8,4,4,0.9625710248947144,0.5573885440826416,0.9999973773956299,0,2019.2899742236132
3,2,4,0.8288783431053162,0.9813306927680969,0.9527357816696167,0,2177.369054616144
3,7,7,0.978563129901886,0.7799010872840881,0.7330656051635742,0,2153.0947494246507
8,6,4,0.8020114302635193,0.9933611154556274,0.9629969596862793,4,3537.3278049963083
8,4,4,0.586004376411438,0.7157110571861267,0.9999958276748657,0,1790.9952540417298
8,1,1,0.6140564680099487,0.6617926359176636,0.6674674153327942,0,2522.4654606158633
8,4,4,0.9962466359138489,0.9564937353134155,0.9999949932098389,0,982.4942747924794
8,9,9,0.5949892997741699,0.9998339414596558,0.9859498143196106,1,2617.8972477925868
3,9,9,0.9336692094802856,0.9999942779541016,0.999040424823761,0,3032.1658925593106
8,8,4,0.570244550704956,0.6941266655921936,0.9257141947746277,1,2015.583538333254
8,0,0,0.7998314499855042,0.9763337969779968,0.8304752707481384,2,2430.1160466117663
8,1,1,0.5980419516563416,0.4125238358974457,0.5086434483528137,0,2019.6403145114725
8,8,4,0.9979097247123718,0.9964599013328552,0.5103370547294617,6,1785.830059104169
3,3,8,0.9816476106643677,0.9915270209312439,0.9107650518417358,0,1961.47648469208
0,0,9,0.9988440275192261,0.9976156949996948,0.5418283939361572,9,4004.924968086169
8,9,9,0.7634377479553223,0.9999856948852539,0.8266090750694275,1,1642.3270076327674
8,6,4,0.5055359601974487,0.9999442100524902,0.9187042117118835,0,3378.8219840648603
8,8,4,0.9992502331733704,0.9713090062141418,0.7029922604560852,11,2755.849778199095
3,9,9,0.9622937440872192,0.9998743534088135,0.9996746778488159,1,2869.5952676292172
