Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,L2 Distance
7,7,2,0.9999998807907104,1.0,1.0,0,524.3538881328144
7,2,2,1.0,0.9994394183158875,0.9999996423721313,0,304.58660508958695
7,2,8,1.0,0.9875105619430542,0.5885516405105591,0,493.85726682919227
7,2,2,0.9999877214431763,1.0,0.9994308352470398,0,505.7578471956713
7,7,2,1.0,0.9912732243537903,1.0,0,538.0176577027933
7,7,2,0.9999943971633911,1.0,0.9969037175178528,0,699.1223068962969
7,7,2,0.9999964237213135,0.9999997615814209,1.0,0,278.0593461835081
6,2,8,0.759295642375946,1.0,0.9900627732276917,0,375.81378367484075
7,2,2,1.0,0.661895215511322,0.9918934106826782,0,535.0719577776432
7,7,2,0.9997254014015198,0.9999690055847168,0.9999946355819702,0,409.1283417217634
7,7,2,1.0,0.9102653861045837,0.9999879598617554,0,416.6521330798632
7,2,2,1.0,0.999997615814209,1.0,0,497.45954609395125
7,7,2,1.0,0.999998927116394,1.0,0,636.3379605209798
7,2,2,0.9995574355125427,0.9999998807907104,1.0,0,356.7954596123667
6,2,6,0.9064973592758179,1.0,0.9998819828033447,1,403.29145788126976
7,7,2,1.0,1.0,1.0,0,565.3370675977297
6,1,6,0.999626874923706,0.5837533473968506,0.9999504089355469,0,316.62280397975127
7,7,4,1.0,1.0,0.9999996423721313,2,240.42254469995112
7,7,4,1.0,0.9999698400497437,0.9870118498802185,0,354.20897786476274
7,7,2,1.0,0.9397403001785278,0.9998905658721924,0,524.6779964892753
7,7,2,1.0,1.0,1.0,1,438.540762073493
7,7,2,1.0,1.0,1.0,0,500.2159533641445
7,2,2,0.9570914506912231,0.881071925163269,0.9999914169311523,0,610.9361668783409
7,7,2,1.0,1.0,1.0,0,565.4078174203112
7,7,2,1.0,0.9306168556213379,0.9917688369750977,0,489.4159784886472
7,7,2,0.9999061822891235,0.8565176725387573,1.0,2,309.49313401107946
7,7,2,1.0,1.0,0.9999932050704956,0,997.0275823667066
