Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
skunk,skunk,skunk,0.9997538924217224,0.9988853335380554,0.9999934434890747,19,0,0,100.37311631500052
lesser_panda,lesser_panda,lighter,0.3446861207485199,0.3178825080394745,0.9969708919525146,0,0.02838743797539237,41747.75645468868,8.422153055999843
jack-o'-lantern,jack-o'-lantern,lens_cap,0.9999964237213135,0.6081312298774719,1.0,0,0.04083294287535813,44310.72800124141,8.67862176700055
bison,bison,window_screen,0.9977154731750488,0.9997411370277405,0.9445264935493469,0,0.04871562359503471,41401.23906358359,8.679155818999789
jack-o'-lantern,jack-o'-lantern,lens_cap,0.7442976236343384,0.9872318506240845,1.0,0,0.05333292883633799,42858.716861334055,9.087834023999676
knot,knot,lens_cap,0.9999634027481079,1.0,0.9619496464729309,0,0.05645813645813646,54821.75187824629,8.84436254100001
park_bench,park_bench,park_bench,0.9755574464797974,0.8952392339706421,0.8759006857872009,19,0,0,99.45809055399968
quail,quail,fire_screen,1.0,0.9999604225158691,0.8518252968788147,2,0.06380919512634296,65347.93600413099,18.41409764400032
jellyfish,flamingo,flamingo,0.8178700804710388,0.9997718930244446,0.9998120665550232,3,0.06580612313659132,36516.247096326864,23.248766252999303
bald_eagle,bald_eagle,great_grey_owl,0.6017650365829468,0.9738659858703613,0.31400787830352783,0,0.06751272450054933,34173.27085603601,9.092433905999314
malinois,malinois,vacuum,0.5361745953559875,0.7027115821838379,0.19918806850910187,11,0.07231352718078382,31361.721604529303,61.07296707200021
jack-o'-lantern,matchstick,lens_cap,0.9999991655349731,0.9969614148139954,1.0,0,0.07265888090158268,41412.22528432878,9.251556422999784
oxcart,oxcart,oxcart,0.8897426724433899,0.6535288095474243,0.9777048826217651,19,0,0,99.64978999399955
rifle,rifle,rifle,0.7877821922302246,0.7684239745140076,0.912105917930603,19,0,0,100.17486560799989
gibbon,gibbon,bubble,0.9988561868667603,0.8574262857437134,0.3352484405040741,0,0.07597140423009964,66191.35185203578,9.335099259000344
pill_bottle,corn,lighter,0.7448902130126953,0.9892575144767761,0.38308823108673096,0,0.07623886300852448,54723.77957524498,9.457138138999653
fireboat,fireboat,fireboat,0.8054373860359192,0.9559286236763,0.9979536533355713,19,0,0,100.44521138900018
parking_meter,parking_meter,web_site,0.8505454063415527,0.7231635451316833,0.20721371471881866,2,0.07635515402843603,46396.779198560755,19.400122905999524
odometer,odometer,odometer,0.9999998807907104,0.9999991655349731,0.9909873604774475,19,0,0,100.246951094
standard_poodle,standard_poodle,fire_screen,0.9985126852989197,0.9923269152641296,0.9999533891677856,0,0.07638935169758229,49615.09201845745,9.967451861999507
Saluki,Saluki,Saluki,0.7599598169326782,0.8361316919326782,0.8628549575805664,19,0,0,101.48703642500004
West_Highland_white_terrier,Norwich_terrier,wallaby,0.8605438470840454,0.8690272569656372,0.7778018712997437,0,0.07643038555804844,49760.41168439023,10.045489447999898
cup,cup,cup,0.9747002124786377,0.9984214305877686,0.960132896900177,19,0,0,99.38616857100078
ambulance,cab,water_jug,0.7393624782562256,0.7435028553009033,0.5336483120918274,1,0.07647882005375509,35912.22322552587,14.886738017000425
honeycomb,honeycomb,honeycomb,0.9990200996398926,0.9996337890625,0.9998770952224731,19,0,0,101.34811974999957
sarong,sarong,sarong,0.769858181476593,0.9645730257034302,0.8570232391357422,19,0,0,100.85034164399985
limpkin,limpkin,American_egret,0.9999997615814209,0.9999996423721313,0.47960346937179565,0,0.07656143572126632,51707.64881523816,10.207490505999885
pinwheel,pinwheel,pinwheel,1.0,0.9999876022338867,1.0,19,0,0,103.7948297289995
malinois,malinois,vacuum,0.4502394199371338,0.6115832328796387,0.2435157746076584,17,0.07656143572126632,33384.22885136034,91.37334639300025
centipede,common_newt,centipede,0.7247768640518188,0.8280706405639648,0.21158020198345184,0,0.07660985829989488,41707.80700300604,10.606839150999804
jay,jay,bubble,1.0,1.0,0.4647490680217743,2,0.07663036638361823,40394.353045939475,20.313094580000325
maypole,maypole,tripod,1.0,1.0,0.8945512771606445,0,0.07665144100859497,39439.48948706106,10.629803759999959
prairie_chicken,prairie_chicken,spider_web,0.9961148500442505,0.9864115715026855,0.2636481523513794,2,0.07667878267435577,51701.3872831281,20.422907870000017
red-backed_sandpiper,red-backed_sandpiper,red-backed_sandpiper,0.99992835521698,0.9993477463722229,0.9991405010223389,19,0,0,103.13584827200066
stole,stole,swab,0.9562413096427917,0.839935839176178,0.8209726810455322,1,0.07671979213703559,49810.73765765771,15.846221601999787
dung_beetle,dung_beetle,dung_beetle,0.93677818775177,0.9268708229064941,0.9939835667610168,19,0,0,102.71396312100023
lakeside,lakeside,park_bench,0.42934083938598633,0.5491753816604614,0.818991482257843,0,0.07674712975505762,25976.57273390776,11.066984302000492
pencil_sharpener,cassette,reflex_camera,0.2546394169330597,0.16390259563922882,0.9479395151138306,0,0.07676079795699323,24337.550225936873,11.432883039999979
bald_eagle,bald_eagle,great_grey_owl,0.5796880125999451,0.970220148563385,0.3347924053668976,0,0.07676820015544616,30690.796226230428,11.530091755000285
pretzel,pretzel,pretzel,0.3027455806732178,0.9843589067459106,0.9691754579544067,19,0,0,103.54413094899974
seat_belt,seat_belt,seat_belt,0.998156726360321,0.9982323050498962,0.9995471835136414,19,0,0,101.29024163699978
throne,four-poster,lighter,0.6494465470314026,0.3807305097579956,0.8516073226928711,4,0.07677503404986084,52675.52589201175,30.388470918000166
bearskin,bearskin,fire_screen,1.0,1.0,0.9996687173843384,0,0.07678926993197481,59722.59243368459,11.59979009699964
orangutan,orangutan,window_screen,0.9999761581420898,0.9997884631156921,0.7804597616195679,0,0.07678926993197481,48823.990885629166,11.624070654000207
cliff,cliff,cliff,0.6973243355751038,0.7040754556655884,0.9220569133758545,19,0,0,104.16047783400063
honeycomb,pretzel,pretzel,0.31607675552368164,0.9833900332450867,0.9438263773918152,0,0.07679610356926084,39663.98383924641,11.756417884000257
spaghetti_squash,spaghetti_squash,spaghetti_squash,0.7503145337104797,0.907978892326355,0.9731389880180359,19,0,0,102.91502278799999
jack-o'-lantern,spotlight,fire_screen,0.5145372152328491,0.9274567365646362,0.9998918771743774,0,0.07679610356926084,52382.93418662227,11.788726313000552
black_swan,black_swan,black_swan,0.9999992847442627,0.9999794960021973,0.9994749426841736,19,0,0,103.50604423200093
harvester,harvester,bubble,0.9964086413383484,0.9993133544921875,0.2727574408054352,1,0.07679610356926084,53332.74377903316,17.03095699699952
wardrobe,wardrobe,crib,0.8838914632797241,0.9926009774208069,0.421735018491745,1,0.07679610356926084,70229.59814067,16.720399623998674
