Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
spoonbill,sulphur-crested_cockatoo,sulphur-crested_cockatoo,0.30939292907714844,0.8013644814491272,0.9775623083114624,5,0.029998602549570673,14242.176343522784,32.40091814799999
harp,harp,harp,0.9784860610961914,0.9999845027923584,0.9999920129776001,19,0,0,97.29031491200001
ox,orangutan,orangutan,0.19676008820533752,0.6780016422271729,0.960858166217804,5,0.04819469957392319,14264.751522546756,32.10517306700001
redshank,redshank,redshank,0.9996546506881714,0.9983964562416077,0.9890165328979492,19,0,0,98.37310793900002
weasel,Newfoundland,Newfoundland,0.2983984053134918,0.20914267003536224,0.9255317449569702,14,0.06262439632575502,13987.41169766587,74.81177342800004
electric_fan,bib,bib,0.15926815569400787,0.4545307159423828,0.7259359955787659,9,0.0654703952788221,10174.307691435324,50.990381003999914
chow,Newfoundland,Newfoundland,0.5053797364234924,0.8790085315704346,0.9189143180847168,5,0.07132222668870129,14808.551178288846,32.26745296200011
malinois,kelpie,kelpie,0.2683851420879364,0.8337490558624268,0.5792060494422913,2,0.07427719069104725,13783.427766705929,18.062524639000003
lacewing,prairie_chicken,prairie_chicken,0.4630080759525299,0.5937491655349731,0.9804682731628418,14,0.07451812502782187,13669.830540281031,75.165601003
harp,banjo,banjo,0.8931206464767456,0.9989359974861145,0.9999896287918091,7,0.07483442235094304,14166.171677626951,41.67911288100004
wolf_spider,wolf_spider,wolf_spider,0.6228148341178894,0.9380837082862854,0.9861031770706177,19,0,0,97.71785044299997
Samoyed,ice_bear,ice_bear,0.5341864228248596,0.9782438278198242,0.9897201657295227,6,0.07568729158947758,14343.364633167492,36.986151414000005
Indian_elephant,tusker,tusker,0.29043054580688477,0.5240817666053772,0.7402737140655518,12,0.07596859026594563,14413.087177978214,65.19797764199984
scale,measuring_cup,scale,0.838783323764801,0.458069771528244,0.9996461868286133,13,0.07625599857811481,14206.495838172057,70.46275434800009
barber_chair,submarine,barber_chair,0.4398840367794037,0.14450636506080627,0.7795730233192444,2,0.07648226026180181,14447.076036347285,18.785016537000047
snail,snail,snail,0.9960657954216003,0.9983327984809875,0.9997716546058655,19,0,0,99.32345431600015
crate,lumbermill,crate,0.12240279465913773,0.25890523195266724,0.9322091341018677,5,0.0765096099742352,14429.235877204308,32.92056995000007
junco,junco,junco,0.8591715097427368,0.93585205078125,0.9981024861335754,19,0,0,99.7527710039999
knot,knot,knot,0.9985581040382385,0.8377317190170288,0.9999164342880249,19,0,0,98.21484254300003
honeycomb,pretzel,pretzel,0.24342665076255798,0.9648153185844421,0.960534930229187,0,0.0765301211955194,14415.049705082532,9.622091891000082
volcano,loggerhead,volcano,0.27513569593429565,0.367000013589859,0.9969961643218994,9,0.0765984853532325,14530.028045396197,51.976464208999914
malinois,kelpie,kelpie,0.29670044779777527,0.8469313979148865,0.7737507820129395,4,0.0766400663281169,14515.84069215421,29.072887401000116
joystick,projector,projector,0.09661658853292465,0.6488456726074219,0.9724715948104858,4,0.07664690162635932,14322.618370954384,29.23775804999991
hip,redshank,redshank,0.6510366797447205,0.9069963693618774,0.994198203086853,10,0.07666057191925324,13484.137680993917,57.92759931400019
conch,sea_slug,sea_slug,0.3074301481246948,0.570241391658783,0.8936363458633423,1,0.07667480938633503,14451.046398098651,14.718464859999813
clog,sandal,sandal,0.28489595651626587,0.6761360764503479,0.9234687089920044,6,0.07667480938633503,13897.94117846237,39.07634583200024
redbone,malinois,malinois,0.17774750292301178,0.8847628235816956,0.5297808051109314,7,0.0766953135987801,13688.475079423566,44.03779276799969
dingo,kit_fox,kit_fox,0.20702432096004486,0.4800843596458435,0.7831767201423645,1,0.07672378696472852,13754.813412038711,14.884185043999878
shower_curtain,mitten,mitten,0.32170426845550537,0.5667366981506348,0.9938533306121826,8,0.07673802333155681,14355.915818922873,48.30880664000006
washer,prison,prison,0.401373952627182,0.6221877932548523,0.9995961785316467,3,0.07674485739875793,13943.586912986199,24.805304048999915
trifle,corn,trifle,0.14228816330432892,0.2582722008228302,0.7097784280776978,0,0.07675169136478704,14292.11968183866,10.421641906000332
Pomeranian,keeshond,keeshond,0.682214081287384,0.9576008319854736,0.9702000617980957,15,0.07675169136478704,13049.983065123111,81.01034557499997
knot,custard_apple,custard_apple,0.2638888955116272,0.28815650939941406,0.9983834028244019,11,0.07675169136478704,6990.178037789881,62.966086129999894
miniature_pinscher,toy_terrier,miniature_pinscher,0.6705764532089233,0.45044007897377014,0.9602423310279846,5,0.07675169136478704,14629.06381146791,34.500337135000336
crash_helmet,crash_helmet,crash_helmet,0.9998711347579956,0.9942337870597839,0.9995806813240051,19,0,0,100.61343786199996
peacock,bittern,bittern,0.649814248085022,0.9609396457672119,0.9675655961036682,13,0.07675909339886601,14196.551975743969,72.06021359199985
cradle,common_iguana,common_iguana,0.6053283214569092,0.8103840947151184,0.9938867688179016,15,0.07676592720893567,13064.889130796328,82.28146495200008
malinois,malinois,malinois,0.6890153288841248,0.7096770405769348,0.6769158840179443,19,0,0,100.31074285900013
standard_poodle,standard_poodle,standard_poodle,0.9574267864227295,0.9927549958229065,0.925112247467041,19,0,0,100.147588369
Polaroid_camera,Polaroid_camera,Polaroid_camera,0.9209995865821838,0.9714926481246948,0.9942459464073181,19,0,0,99.96818315700011
black_widow,spider_web,black_widow,0.9866318106651306,0.45490601658821106,0.984083354473114,8,0.07676592720893567,13518.950920837016,49.59574502099986
banded_gecko,banded_gecko,banded_gecko,0.9859601259231567,0.9948402047157288,0.9994275569915771,19,0,0,100.93618329499986
pencil_sharpener,cassette,pencil_sharpener,0.2516617476940155,0.22201284766197205,0.19544585049152374,1,0.07676592720893567,14673.131431293048,15.873239940000076
lampshade,table_lamp,table_lamp,0.5974520444869995,0.5643399357795715,0.8473082780838013,2,0.07676592720893567,14692.198644178481,20.733171883000068
radio_telescope,barn,barn,0.815824031829834,0.8648414015769958,0.9975616931915283,8,0.07676592720893567,13991.0594309366,49.74961759100006
rocking_chair,rocking_chair,rocking_chair,0.9790215492248535,0.9292804598808289,0.999320387840271,19,0,0,101.59271349600021
