Original Prediction,Prediction 1,Prediction 2,Prediction 3,Iter Num,Averaged NC,L2 Distance
park_bench,park_bench,maze,rotisserie,2,0.6120515421915816,32003.366135455188
scale,scale,scale,water_jug,0,0.6209587870169917,43158.11785747845
rotisserie,rotisserie,rotisserie,rotisserie,19,0,0
hip,hip,hip,strawberry,1,0.6290751643646298,57609.34474544907
partridge,partridge,partridge,lighter,2,0.6382939630449197,56667.049896743345
police_van,police_van,police_van,police_van,19,0,0
drake,drake,drake,lighter,7,0.6561004641353582,44560.74335107079
projector,cassette,projector,projector,3,0.6622915984310468,66555.75174243019
lumbermill,lumbermill,lumbermill,fire_screen,0,0.6717180996812564,44723.41825039763
volcano,volcano,volcano,volcano,19,0,0
junco,junco,junco,church,1,0.6754727230605773,51761.10528186198
gas_pump,gas_pump,gas_pump,rotisserie,0,0.6774778517163422,38136.08456567087
toucan,barrow,toucan,bannister,0,0.6872957924252471,47950.913661785424
gondola,gondola,gondola,window_screen,2,0.6903873652929006,56784.53581742128
geyser,geyser,geyser,screw,2,0.6953402727294514,48670.80278770836
crate,crate,crate,window_screen,0,0.6964506826224846,36695.898708166285
European_fire_salamander,spotted_salamander,spotted_salamander,European_fire_salamander,0,0.6979764976553575,70148.16503658524
redshank,redshank,dowitcher,fire_screen,2,0.6992626558767845,57710.300813632915
brambling,ruffed_grouse,ruffed_grouse,brambling,1,0.7013956014986539,11136.39425487442
French_horn,French_horn,French_horn,bannister,0,0.7031610733429728,40323.47059715966
quail,quail,quail,fire_screen,1,0.7045750485305043,65347.93600413099
grey_fox,grey_fox,grey_fox,wild_boar,0,0.7052301104817901,87303.40506532376
bell_pepper,bell_pepper,bell_pepper,swab,2,0.7066920170316108,48995.97729405956
solar_dish,solar_dish,solar_dish,solar_dish,19,0,0
red_wine,red_wine,red_wine,screw,0,0.7072831704998442,50982.56128324665
go-kart,go-kart,tricycle,fire_screen,0,0.7089927224214925,38741.286839752756
prison,prison,prison,window_shade,0,0.7101031323145256,32797.91029928584
tree_frog,tree_frog,tree_frog,screw,0,0.71043865185055,23159.693089503584
rock_crab,rock_crab,rock_crab,shovel,0,0.7114292333378602,42540.358872487195
table_lamp,table_lamp,lampshade,lampshade,1,0.71293907124997,36683.775841644216
barn,barn,barn,fire_screen,1,0.7143850006790277,58087.28897960379
cardigan,cardigan,cardigan,chain_mail,1,0.7153356393644301,38776.05566583584
marmot,marmot,marmot,otter,3,0.7154794334512977,32354.33559818529
hip,hip,hip,spotlight,0,0.7167496145519616,58096.2222610042
pinwheel,pinwheel,pinwheel,gasmask,0,0.7170132370445522,41550.552788139896
doormat,envelope,envelope,cup,0,0.719585553487406,43346.276264518965
jersey,jersey,jersey,jersey,19,0,0
Bouvier_des_Flandres,Bouvier_des_Flandres,Bouvier_des_Flandres,komondor,4,0.7199130844630489,51741.58539318253
park_bench,park_bench,park_bench,park_bench,19,0,0
knot,knot,knot,web_site,2,0.7206959633804392,27464.602218127973
crash_helmet,crash_helmet,crash_helmet,car_wheel,3,0.7208717117088329,59755.56510485028
patio,church,church,fire_screen,0,0.7209835515541744,48038.63858395656
keeshond,keeshond,keeshond,window_screen,0,0.7210314829164636,45851.933448874326
African_hunting_dog,African_hunting_dog,African_hunting_dog,lighter,3,0.7216865448677494,45789.683128407865
custard_apple,custard_apple,custard_apple,custard_apple,19,0,0
lakeside,lakeside,lakeside,seashore,0,0.7220939614472076,66936.23569487606
sulphur-crested_cockatoo,sulphur-crested_cockatoo,sulphur-crested_cockatoo,gasmask,15,0.7225093665870473,53827.43495653494
stingray,stingray,stingray,lighter,1,0.7227729890796379,59453.273988906614
clumber,ice_bear,kuvasz,fire_screen,0,0.7234759823932129,74249.37536437596
white_stork,volcano,hammerhead,fire_screen,0,0.7235398908762651,35889.07155388671
football_helmet,football_helmet,football_helmet,fire_screen,0,0.7235718451177913,31942.394071202616
jersey,jersey,jersey,window_screen,2,0.7236677078423698,61993.8077633565
gas_pump,gas_pump,gas_pump,gas_pump,19,0,0
