Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
envelope,envelope,envelope,0.9984941482543945,0.9977189898490906,0.9876505732536316,19,0,0,58.491157900000005
bathing_cap,volleyball,volleyball,0.5596320629119873,0.9475851058959961,0.994245707988739,3,0.03520669838719644,14310.820381795029,15.096583600000002
jersey,sweatshirt,sweatshirt,0.1211465522646904,0.8501899242401123,0.9605126976966858,6,0.053749175568005216,14561.791819690323,21.66683660000001
Chesapeake_Bay_retriever,Chesapeake_Bay_retriever,Chesapeake_Bay_retriever,0.9999978542327881,0.9999603033065796,0.9688841700553894,19,0,0,53.47979550000002
wild_boar,wild_boar,wild_boar,0.8596631288528442,0.8512915372848511,0.9638787508010864,19,0,0,53.25116430000003
cheetah,cheetah,cheetah,0.9997692704200745,0.9925376772880554,0.9984619617462158,19,0,0,53.418756099999996
collie,borzoi,borzoi,0.4828146994113922,0.9235731363296509,0.8944039344787598,3,0.06508414632318782,14422.936108851069,14.891443700000025
Airedale,Airedale,Airedale,0.998450756072998,0.99892657995224,0.9986542463302612,19,0,0,54.391786000000025
lacewing,spider_web,spider_web,0.4738655090332031,0.9856833815574646,0.997078537940979,8,0.07094237328527384,8627.82724676381,26.85375099999999
agama,agama,agama,1.0,1.0,1.0,19,0,0,56.43340509999996
grasshopper,power_drill,power_drill,0.1754172146320343,0.9476645588874817,0.984435498714447,6,0.07300289811993758,14855.933763988045,21.995916999999963
pug,pug,pug,0.10610835999250412,0.9693335890769958,0.9836439490318298,19,0,0,55.95056020000004
pay-phone,gas_pump,gas_pump,0.8608656525611877,0.6077266931533813,0.9999901056289673,7,0.07450715615934234,13803.511292421215,24.70687799999996
jay,jay,jay,0.9995262622833252,0.9810106158256531,0.9999055862426758,19,0,0,54.72035690000007
wallet,toilet_seat,toilet_seat,0.1132461279630661,0.7644243836402893,0.9561982750892639,5,0.075537702147844,14678.594244681608,20.057751199999984
dishwasher,dishwasher,dishwasher,0.9846988320350647,0.8089494109153748,0.9709938168525696,19,0,0,55.04911609999999
partridge,ruffed_grouse,ruffed_grouse,0.5154588222503662,0.7635670304298401,0.9109504818916321,3,0.07597599822209053,14461.414695665151,15.349597700000004
apiary,stupa,apiary,0.9779978394508362,0.259244441986084,0.6298128962516785,17,0.07602391164248094,14196.736632057382,49.988588800000116
chime,chime,chime,0.8326859474182129,0.9224740266799927,0.9291892647743225,19,0,0,55.5164807000001
pencil_sharpener,iPod,iPod,0.26413750648498535,0.9615592360496521,0.8171943426132202,1,0.07627708577099102,14304.299598372512,10.487890799999832
sax,sax,stage,0.6937458515167236,0.8352825045585632,0.07854270935058594,0,0.07640020140390368,927.5920439503565,8.222059799999897
nipple,nipple,nipple,0.9956182241439819,0.747562050819397,0.9999417066574097,19,0,0,57.545171499999924
bonnet,hair_slide,hair_slide,0.13355225324630737,0.3536209166049957,0.9315100908279419,0,0.0765238507725681,13310.72796656892,8.590355999999929
barracouta,barracouta,barracouta,0.9719601273536682,0.9938026666641235,0.9850996136665344,19,0,0,56.942954599999894
bustard,partridge,partridge,0.36559292674064636,0.5526041388511658,0.9197027683258057,7,0.0766400663281169,14585.61860189687,27.11817989999986
Saluki,Saluki,Saluki,0.7576799988746643,0.9750877618789673,0.9009313583374023,19,0,0,57.5145808000002
meerkat,patas,patas,0.3677753210067749,0.7454901933670044,0.7978391647338867,3,0.07666057191925324,13952.346791848317,16.435760500000015
pay-phone,pay-phone,pay-phone,0.9087582230567932,0.9631020426750183,0.9580036997795105,19,0,0,58.514094099999966
water_tower,water_tower,water_tower,0.9992430210113525,0.9999203681945801,0.9998812675476074,19,0,0,58.268815700000005
toy_poodle,teddy,teddy,0.16847477853298187,0.25064677000045776,0.7701892852783203,12,0.07668107659965061,12907.301731965516,40.302450300000146
skunk,skunk,skunk,0.9743990302085876,0.9823023676872253,0.9999850988388062,19,0,0,59.533847700000024
cup,cup,cup,0.9454084038734436,0.8617487549781799,0.7945609092712402,19,0,0,59.29035909999993
aircraft_carrier,aircraft_carrier,aircraft_carrier,0.9972980618476868,0.9581300616264343,0.999268114566803,19,0,0,59.43080429999986
jigsaw_puzzle,jigsaw_puzzle,jigsaw_puzzle,0.9998939037322998,0.9987401366233826,0.9994869232177734,19,0,0,60.3450828
torch,torch,torch,0.6864961385726929,0.9810834527015686,0.9988242983818054,19,0,0,59.67608730000029
Madagascar_cat,Madagascar_cat,Madagascar_cat,0.9835788011550903,0.9793683290481567,0.9981895089149475,19,0,0,60.424269600000116
bonnet,stole,stole,0.5639591217041016,0.7146130800247192,0.9726478457450867,4,0.07670898256782265,14521.655931745525,20.248167900000226
African_hunting_dog,African_hunting_dog,African_hunting_dog,0.9999481439590454,0.9999728202819824,0.9997860789299011,19,0,0,64.13680339999974
unicycle,jinrikisha,jinrikisha,0.5309205651283264,0.7752562165260315,0.8892454504966736,8,0.07671581690057441,14171.899484543348,38.46374539999988
water_tower,water_tower,water_tower,0.9590471386909485,0.9992885589599609,0.999946117401123,19,0,0,72.67864400000008
basset,basset,basset,0.9939380884170532,0.995510458946228,0.9995686411857605,19,0,0,86.02724780000017
