Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
trifle,corn,trifle,0.1362128108739853,0.2583496868610382,0.735831081867218,0,0.06205979847386814,14307.305616362572,8.691620927999992
iPod,lens_cap,lens_cap,0.21502214670181274,0.22909583151340485,0.8862779140472412,3,0.07087613562140016,14233.466619204191,20.484781424000005
purse,mailbag,mailbag,0.473395973443985,0.8029246926307678,0.9776424169540405,4,0.07193695229904658,7074.859009195872,24.785115673999996
partridge,partridge,partridge,0.5484411120414734,0.771591305732727,0.9237883687019348,19,0,0,87.99872188300003
maraca,maraca,maraca,0.37016981840133667,0.9514473676681519,0.981444239616394,19,0,0,88.163482692
trailer_truck,freight_car,freight_car,0.36494728922843933,0.9945789575576782,0.9984188079833984,11,0.0735359856951274,14143.863722476966,55.13230148599996
red_wine,red_wine,red_wine,0.9388830065727234,0.8924939632415771,0.9721642732620239,19,0,0,88.63531386199998
ant,dung_beetle,dung_beetle,0.300020694732666,0.8550301194190979,0.9423344135284424,11,0.07389514615971922,14388.766104152224,54.950167772999976
damselfly,jay,jay,0.9585722088813782,0.9764376282691956,0.9999536275863647,10,0.07395269560482809,12866.381231721683,50.48138252000001
yellow_lady's_slipper,vine_snake,yellow_lady's_slipper,0.9926659464836121,0.6265044212341309,0.9913773536682129,6,0.07410886519367094,13354.347719001478,34.400759938999954
water_snake,bullfrog,bullfrog,0.4002436101436615,0.4077249765396118,0.9990988969802856,2,0.07421979579128289,14365.052349365107,17.10894778799991
upright,harp,harp,0.40997186303138733,0.998235821723938,0.9954079985618591,17,0.07451137536486042,14649.915016818357,80.81254962199989
ashcan,fire_screen,fire_screen,0.05799274519085884,0.7911820411682129,0.9701207876205444,2,0.07459621378343693,14262.358746013928,16.85759502199994
bassinet,bassinet,bassinet,0.8438458442687988,0.4555519223213196,0.8723234534263611,19,0,0,88.95114691900005
airship,lifeboat,lifeboat,0.10797303169965744,0.9915698766708374,0.9972411394119263,19,0.07494498250820644,14286.705043501108,88.72256680600003
throne,throne,throne,0.7516651153564453,0.9935732483863831,0.9996379613876343,19,0,0,88.50577033800005
menu,eggnog,eggnog,0.39282429218292236,0.9206691384315491,0.998895525932312,3,0.0749750600406429,14487.598006571,21.517232651000086
parachute,maze,maze,0.9667733311653137,0.6754916310310364,0.9978360533714294,9,0.0750365761745016,13568.297571913728,46.68404353100004
Boston_bull,Boston_bull,Boston_bull,0.4701045751571655,0.5894567370414734,0.9948287606239319,19,0,0,89.18737101200009
maze,picket_fence,picket_fence,0.47927695512771606,0.8878964781761169,0.9812109470367432,13,0.07510491783898807,14029.135147969742,64.6199652979999
zucchini,artichoke,zucchini,0.882020890712738,0.2356925755739212,0.9918839931488037,13,0.07511858496002838,13371.648813814996,63.85191875999999
custard_apple,artichoke,artichoke,0.9629116654396057,0.723878800868988,0.9599921107292175,5,0.07517324940526324,14350.893944280962,30.436517661999915
shopping_cart,triceratops,triceratops,0.908003568649292,0.6814302206039429,0.9926913380622864,12,0.07518828099488609,12194.659937858047,60.64614801199991
solar_dish,solar_dish,solar_dish,0.8048251271247864,0.8801000714302063,0.9296097755432129,19,0,0,90.05915841299998
bubble,marimba,marimba,0.40698108077049255,0.2750685513019562,0.9915462136268616,8,0.07518828099488609,14112.53651899615,43.20095571800016
ostrich,hognose_snake,hognose_snake,0.4592032730579376,0.6860713362693787,0.7426009774208069,5,0.07519511337409462,13778.499265159468,30.75836130400012
drilling_platform,drilling_platform,patas,0.4397023022174835,0.9686130881309509,0.9572144150733948,17,0.07520877782965621,13357.23257265516,81.98619754999982
Samoyed,ice_bear,ice_bear,0.4580790400505066,0.9744396805763245,0.988358199596405,15,0.07529895311008743,14570.348245666608,72.78467555999987
crayfish,rock_crab,rock_crab,0.7280550599098206,0.9366528987884521,0.9974753260612488,4,0.07530578385413973,14410.206140093902,26.799678420999953
golfcart,golfcart,golfcart,0.9977351427078247,0.9999985694885254,0.9999222755432129,19,0,0,89.65532929099982
bannister,projector,projector,0.35161086916923523,0.9821308255195618,0.9311306476593018,18,0.07537408574463339,13790.512608311556,87.06682429500006
borzoi,borzoi,borzoi,0.833176851272583,0.8106093406677246,0.7755528092384338,19,0,0,91.1537652019997
photocopier,carton,carton,0.23735129833221436,0.19695335626602173,0.99225252866745,0,0.07537408574463339,13153.22279899493,9.758889393999652
English_setter,English_springer,English_springer,0.37402117252349854,0.5409082174301147,0.4097517728805542,9,0.07539867195520988,14447.707845883373,47.99762881800007
horse_cart,oxcart,oxcart,0.7483533620834351,0.7524757385253906,0.9651052355766296,17,0.07540550122610572,14256.043560539509,82.68340427700014
purse,paper_towel,paper_towel,0.04913029819726944,0.3385133445262909,0.9549511671066284,0,0.07543281730087449,13488.41569644115,10.146267499999794
Brittany_spaniel,beagle,beagle,0.1916332244873047,0.7687776684761047,0.9940008521080017,6,0.07543281730087449,14067.85836579257,35.64102419200026
bull_mastiff,malinois,malinois,0.4581207036972046,0.8732050657272339,0.9800727367401123,11,0.07545330329775841,14492.131554743768,57.44439389600029
maze,maze,maze,0.9983029365539551,0.9950132966041565,0.9961313009262085,19,0,0,90.98697687399999
hamster,hamster,hamster,0.9991682767868042,0.9997556805610657,0.9999897480010986,19,0,0,91.5551719189998
stingray,pelican,stingray,0.5084444880485535,0.4012909233570099,0.997194766998291,7,0.07546696012467041,13362.28730420058,39.811777769999935
stupa,picket_fence,picket_fence,0.3914318382740021,0.9062480330467224,0.9988008737564087,9,0.07547378838682994,14367.074058415652,49.22957602199995
lycaenid,banded_gecko,banded_gecko,0.21537940204143524,0.9635974168777466,0.9980911612510681,6,0.07547378838682994,14100.802920401376,36.110404578999805
