Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
washer,spotlight,lighter,0.9451930522918701,0.5548505783081055,0.9450477957725525,0,0.07282644280408913,53158.898944579356,3.5322915199999443
notebook,laptop,laptop,0.4880935549736023,0.40267232060432434,0.8292407989501953,5,0.07361003392399368,56901.849908416865,2.646865575999982
megalith,megalith,megalith,0.9982812404632568,0.9986909031867981,0.8095746636390686,19,0,0,4.0157075140000416
vending_machine,vending_machine,lighter,0.9999843835830688,0.9990854263305664,0.7685668468475342,1,0.07404448586793304,35913.757906963736,2.325069892999636
meerkat,patas,patas,0.663843035697937,0.680418848991394,0.525334358215332,0,0.0741431058686394,75663.75769151305,2.4884722949996103
rugby_ball,rugby_ball,rugby_ball,0.9973883032798767,0.9994338154792786,0.9997259974479675,19,0,0,4.215781906999837
sarong,sarong,bubble,0.3538948595523834,0.9986914992332458,0.2600170373916626,2,0.07461947321342766,68124.50843859352,2.5796911309998904
football_helmet,football_helmet,fire_screen,0.8779110908508301,0.999895453453064,0.712179958820343,0,0.07481918254100821,37620.33136483516,2.4722059569999146
orangutan,orangutan,window_screen,0.9999934434890747,0.9999657869338989,0.9313135147094727,0,0.07503110840503291,48823.990885629166,2.522372298999926
stage,stage,stage,0.9685153961181641,0.989574134349823,0.9056545495986938,19,0,0,4.516767021000305
quill,nematode,paintbrush,0.9306443929672241,0.9586372375488281,0.9915474057197571,0,0.07516505015042171,47552.5155906604,2.6238272860000507
lakeside,lakeside,volcano,0.7638891935348511,0.5634005069732666,0.4579428434371948,5,0.0752538676681998,9687.413999618268,3.395540488000279
gas_pump,gas_pump,lighter,0.948775053024292,0.929203450679779,0.2634330689907074,7,0.07529485461521528,45860.4219452896,3.494483604999914
beach_wagon,beach_wagon,beach_wagon,0.5874194502830505,0.602362871170044,0.9330176711082458,19,0,0,4.6891426419997515
oxcart,oxcart,oxcart,0.8903337717056274,0.6523110270500183,0.9773229360580444,19,0,0,4.689668956999867
