Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
flat-coated_retriever,flat-coated_retriever,Labrador_retriever,0.40924790501594543,0.41319870948791504,0.7732136249542236,0,0.06422636962082849,14517.365429030158,3.620555048999904
pinwheel,puck,puck,0.2752964496612549,0.7885022163391113,0.9945933222770691,5,0.06659319453164496,14012.702308976666,2.630407095999999
Samoyed,Old_English_sheepdog,Old_English_sheepdog,0.16297613084316254,0.8636770248413086,0.9913949370384216,8,0.06751101370809987,14384.706044963172,3.0223528480000823
fire_engine,cab,cab,0.38424789905548096,0.7614245414733887,0.6183204054832458,0,0.06828142026068679,14300.802984448112,2.285087959000066
komondor,komondor,komondor,0.9786441922187805,0.999910831451416,0.9997376799583435,19,0,0,4.4873668129998805
Irish_water_spaniel,Irish_water_spaniel,Irish_water_spaniel,0.9403753280639648,0.9853680729866028,0.9985038042068481,19,0,0,4.180404847999853
chest,crate,crate,0.539339542388916,0.9249978065490723,0.9636751413345337,7,0.06887051112112813,14610.23285235386,3.0836364169999797
rotisserie,rotisserie,rotisserie,0.3129446506500244,0.985312283039093,0.9999842643737793,19,0,0,4.540580843000043
maillot,sandbar,sandbar,0.24293303489685059,0.7790090441703796,0.7514153718948364,12,0.06998289729610858,14570.367291183844,3.7464493010002116
teddy,buckeye,buckeye,0.4102403521537781,0.7572225332260132,0.8424658179283142,16,0.07048150007277004,11912.884663254321,4.20183612899973
jackfruit,jackfruit,jackfruit,0.999444305896759,0.9996199607849121,0.999923586845398,19,0,0,4.7682249680001405
black_stork,white_stork,white_stork,0.2366798222064972,0.7343303561210632,0.9745467305183411,6,0.07129799716891265,14228.932110316642,3.3459905199997593
pinwheel,seat_belt,seat_belt,0.39893394708633423,0.8171575665473938,0.9994557499885559,14,0.07149501030279384,14253.673596655706,4.16665657700014
spaghetti_squash,butternut_squash,butternut_squash,0.8583347201347351,0.9468475580215454,0.9993624091148376,14,0.07183235607280665,14336.904512481067,4.21669203600004
rocking_chair,rocking_chair,rocking_chair,0.9951480031013489,0.9880527257919312,0.9995193481445312,19,0,0,4.7647328120001475
saltshaker,thimble,thimble,0.3252957761287689,0.5931157469749451,0.8317090272903442,3,0.07225334993478003,14723.717737039107,3.2126042559998496
lacewing,lacewing,lacewing,0.5803694725036621,0.9945164322853088,0.9979290962219238,19,0,0,4.916587777000132
volcano,sandbar,sandbar,0.514336884021759,0.5420045256614685,0.7131331562995911,4,0.07329181694887148,14884.166016273804,3.736646814999858
rocking_chair,rocking_chair,rocking_chair,0.7952163815498352,0.9787059426307678,0.9994820952415466,19,0,0,5.012546358999771
stone_wall,park_bench,park_bench,0.30827105045318604,0.4623405635356903,0.8651310205459595,0,0.07435807942925933,12356.02949980292,3.22083560100009
dining_table,dining_table,dining_table,0.9776449203491211,0.9704157710075378,0.9841318726539612,19,0,0,5.163467837000098
black_grouse,vulture,vulture,0.3825056850910187,0.4633569121360779,0.6854444742202759,5,0.07495181848278472,14086.873712786666,3.844020225999884
odometer,odometer,odometer,0.9999998807907104,0.9999969005584717,0.9980126619338989,19,0,0,5.261480223000035
apiary,apiary,apiary,0.9999340772628784,0.9998487234115601,0.9997391104698181,19,0,0,5.2764851310003
French_bulldog,Boston_bull,Boston_bull,0.4248075783252716,0.9072462916374207,0.9846128225326538,5,0.07504204387932742,14568.712262928388,4.048531868999817
warplane,submarine,submarine,0.2860449552536011,0.6861290335655212,0.9756163358688354,3,0.07507074826916114,14417.410828578064,3.901003585000126
standard_poodle,cocker_spaniel,cocker_spaniel,0.5590303540229797,0.9465343952178955,0.9990023970603943,8,0.07511995164991703,13944.042814047869,4.6386874159998115
