Original Prediction,Prediction 1,Prediction 2,Prediction 3,Iter Num,Averaged NC,L2 Distance
African_grey,African_grey,African_grey,African_grey,19,0,0
suspension_bridge,maypole,suspension_bridge,suspension_bridge,6,0.2929117503734652,13729.270046145935
whippet,whippet,whippet,whippet,19,0,0
umbrella,ski,umbrella,umbrella,6,0.3512090686137451,14570.025257356283
park_bench,sombrero,park_bench,park_bench,7,0.4173591417090726,13821.040120048852
feather_boa,violin,feather_boa,feather_boa,9,0.4461594995965777,14582.275233995551
steel_arch_bridge,suspension_bridge,steel_arch_bridge,steel_arch_bridge,5,0.5002851916056208,14428.731649039704
Norwich_terrier,West_Highland_white_terrier,Norwich_terrier,Norwich_terrier,3,0.5143562418616541,14653.778113510522
table_lamp,lampshade,table_lamp,table_lamp,2,0.5429952308294522,14610.321967704887
bulletproof_vest,bulletproof_vest,bulletproof_vest,bulletproof_vest,19,0,0
lynx,lynx,lynx,fox_squirrel,2,0.5496001725529043,14375.57223208871
skunk,skunk,skunk,skunk,19,0,0
dalmatian,dalmatian,dalmatian,dalmatian,19,0,0
vulture,black_grouse,vulture,vulture,12,0.5556155585201991,14752.03789311836
brass,brass,redshank,brass,11,0.5681464143346727,13840.650779497328
water_tower,damselfly,water_tower,water_tower,12,0.6190111759959738,14196.655592075198
oxcart,oxcart,oxcart,oxcart,19,0,0
cauliflower,cauliflower,cauliflower,cauliflower,19,0,0
plunger,syringe,plunger,plunger,4,0.6357631871160498,14967.042660459012
African_grey,African_grey,African_grey,African_grey,19,0,0
lakeside,seashore,lakeside,lakeside,5,0.6540442086931514,14559.777230438658
patas,meerkat,patas,patas,4,0.6575416004281869,14204.193958123777
gasmask,cradle,gasmask,gasmask,7,0.6629882008963165,1732.7486834506612
patas,guenon,patas,patas,19,0.6732710758194266,14454.776096501806
aircraft_carrier,aircraft_carrier,aircraft_carrier,aircraft_carrier,19,0,0
picket_fence,megalith,picket_fence,picket_fence,8,0.6810199793895142,14526.34658129841
red_wine,goblet,red_wine,red_wine,7,0.685258709527956,14360.428719227013
tree_frog,tree_frog,tree_frog,tree_frog,19,0,0
gondola,gondola,gondola,gondola,19,0,0
black-footed_ferret,black-footed_ferret,hummingbird,black-footed_ferret,11,0.6883534778197621,14324.827328802257
cliff,promontory,cliff,cliff,9,0.6951261793112263,14179.600276453493
Boston_bull,Boston_bull,Chihuahua,Boston_bull,12,0.6965401544987577,13923.93561461701
ocarina,ocarina,ocarina,ocarina,19,0,0
television,fire_screen,television,television,4,0.703312855990222,14341.586697433448
cowboy_hat,sombrero,sombrero,cowboy_hat,5,0.7129566460828094,1443.2494586868897
toilet_seat,toilet_tissue,toilet_seat,toilet_seat,5,0.7204099729187803,14476.924811575143
padlock,stupa,padlock,padlock,19,0.7282579346375989,14190.894052173035
platypus,Komodo_dragon,platypus,platypus,5,0.7300569584355203,14605.494787921429
Irish_water_spaniel,Irish_water_spaniel,miniature_poodle,Irish_water_spaniel,9,0.7352271547144489,13455.885218000338
plunger,plunger,plunger,plunger,19,0,0
Boston_bull,Chihuahua,Boston_bull,Boston_bull,17,0.7397710478594652,14275.392498982295
Boston_bull,Boston_bull,Boston_bull,Boston_bull,19,0,0
bell_pepper,macaw,bell_pepper,bell_pepper,10,0.7473809504789142,14481.650700110122
cheetah,parachute,cheetah,cheetah,19,0.7499005424232499,13755.21828252827
partridge,partridge,partridge,partridge,19,0,0
dining_table,crib,dining_table,dining_table,15,0.7523482373241518,13252.720777259286
drake,drake,drake,drake,19,0,0
keeshond,keeshond,centipede,keeshond,12,0.755740180062151,13593.686107895826
steam_locomotive,steam_locomotive,steam_locomotive,steam_locomotive,19,0,0
banded_gecko,banded_gecko,banded_gecko,banded_gecko,19,0,0
banded_gecko,banded_gecko,banded_gecko,banded_gecko,19,0,0
laptop,notebook,laptop,laptop,5,0.7631120235822303,14596.117291937606
apiary,bubble,apiary,apiary,9,0.7664304715647193,14001.327544200944
red-backed_sandpiper,red-backed_sandpiper,coyote,red-backed_sandpiper,14,0.7684435887808658,13543.78551218233
rock_python,boa_constrictor,rock_python,rock_python,13,0.7721870281756524,12933.859671420592
holster,chain_saw,holster,holster,0,0.7728820329288459,14065.460106231862
megalith,megalith,megalith,megalith,19,0,0
black-footed_ferret,weasel,black-footed_ferret,black-footed_ferret,13,0.7733070243411435,14123.755555800306
Saluki,Saluki,Saluki,Saluki,19,0,0
chiton,mask,chiton,chiton,7,0.7788367058372411,14174.540662751651
gondola,gondola,gondola,gondola,19,0,0
turnstile,loudspeaker,turnstile,turnstile,6,0.7839557753297278,14515.828877470278
candle,eggnog,candle,candle,5,0.7854208773037011,14512.048339224893
picket_fence,stupa,picket_fence,picket_fence,5,0.7857931442174806,14491.261470279253
solar_dish,pinwheel,solar_dish,solar_dish,15,0.7867981051134775,13573.577163003127
lynx,wombat,lynx,lynx,4,0.7880618953658362,14312.01575600027
stinkhorn,croquet_ball,dragonfly,stinkhorn,8,0.7906869363072081,13986.738540488986
