Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
guenon,badger,badger,0.3200902044773102,0.5362170338630676,0.9936708211898804,6,0.06576421664771014,14528.149056228738,23.4174163
cockroach,tick,tick,0.46608224511146545,0.8717488050460815,0.9067047238349915,4,0.06962069534479606,14386.693921815395,9.807744
bannister,suspension_bridge,suspension_bridge,0.9002709984779358,0.8677178621292114,0.9363964200019836,11,0.07010725274594663,14210.91875988319,34.1108194
fig,fig,fig,0.9957985281944275,0.9301025867462158,0.9998534917831421,19,0,0,53.773588399999994
lesser_panda,lesser_panda,lesser_panda,0.9999713897705078,0.9999982118606567,0.9997760653495789,19,0,0,56.425680700000015
shower_cap,bathing_cap,bathing_cap,0.41593846678733826,0.3364590108394623,0.9999165534973145,0,0.07141786826461019,14106.778973245451,7.779180800000006
submarine,barber_chair,barber_chair,0.12375705689191818,0.49269989132881165,0.8260789513587952,14,0.07177729595695646,13378.010315439287,43.790815099999975
hippopotamus,American_black_bear,American_black_bear,0.7816010117530823,0.5195066928863525,0.9903862476348877,12,0.07317380166145918,14259.901086613469,37.53359569999998
hen,partridge,partridge,0.9749327301979065,0.8258683085441589,0.9062186479568481,18,0.07421979579128289,13451.253510361032,52.839457599999946
umbrella,flute,flute,0.5444449186325073,0.6497994661331177,0.9531400799751282,9,0.07428962734646308,13994.878098790286,30.23123080000005
limousine,beach_wagon,beach_wagon,0.46371859312057495,0.713275134563446,0.9285652041435242,6,0.07438545742789791,14382.572162169046,24.229194000000007
miniature_poodle,standard_poodle,standard_poodle,0.5138265490531921,0.6022382378578186,0.8914707899093628,2,0.07461810504402955,14493.060201351542,14.349081400000046
syringe,plunger,plunger,0.36337411403656006,0.9450029730796814,0.9275003671646118,4,0.07477678571428571,14633.824927202048,17.696149600000012
jaguar,jaguar,jaguar,0.9804236888885498,0.9753211140632629,0.9974700212478638,19,0,0,55.019980499999974
strawberry,strawberry,strawberry,0.9914621114730835,0.859839141368866,0.998803973197937,19,0,0,56.593526899999915
purse,paper_towel,paper_towel,0.06746479123830795,0.23574580252170563,0.9104108214378357,0,0.0751103847358746,14212.13900157186,8.051613400000178
strawberry,bulbul,strawberry,0.9800262451171875,0.6779786944389343,0.9995836615562439,11,0.07522107549441863,13728.63664024946,35.40674909999984
unicycle,unicycle,unicycle,0.5941134691238403,0.9985114932060242,0.9999914169311523,19,0,0,56.45021040000006
bonnet,hair_slide,hair_slide,0.11413776129484177,0.3734908103942871,0.9495675563812256,1,0.07523473918278999,14490.494125460318,11.011231599999974
picket_fence,crib,crib,0.18102256953716278,0.9050645232200623,0.9461773633956909,9,0.07524157087556514,14720.762344389641,31.920233499999995
lampshade,table_lamp,table_lamp,0.464089035987854,0.5564872622489929,0.8194233179092407,1,0.07527709405093626,14774.2120263654,11.335853499999985
golden_retriever,Leonberg,Leonberg,0.5014843344688416,0.5072097778320312,0.8438018560409546,3,0.07535906019447308,14021.370154161112,16.23573710000005
Maltese_dog,soft-coated_wheaten_terrier,soft-coated_wheaten_terrier,0.33496618270874023,0.808054506778717,0.9821488261222839,9,0.07538911080646686,13548.985976817601,31.800183699999934
honeycomb,pretzel,pretzel,0.28172802925109863,0.9842295050621033,0.9854807257652283,0,0.0754300857660298,14251.24808569411,8.972149300000183
cup,broccoli,broccoli,0.17452043294906616,0.8970872163772583,0.9765222072601318,4,0.07543691457287917,14286.351388650637,19.656231599999956
bobsled,toilet_seat,toilet_seat,0.2769526243209839,0.810531735420227,0.9970210194587708,12,0.07543691457287917,14430.162888893528,39.525242299999945
ocarina,ocarina,ocarina,0.9992057681083679,0.9964694976806641,0.9994503855705261,19,0,0,58.96871050000004
redshank,limpkin,limpkin,0.5769529342651367,0.7967749238014221,0.9776560664176941,15,0.07545057188395993,13044.173296916904,47.841193100000055
fox_squirrel,guenon,guenon,0.5164196491241455,0.7638692259788513,0.9997976422309875,8,0.07545057188395993,14244.275446648735,30.42926310000007
park_bench,park_bench,groom,0.8065462708473206,0.9035601615905762,0.1494053155183792,0,0.07545740038819577,13549.506079558767,9.88065460000007
water_buffalo,warthog,warthog,0.33335691690444946,0.844210147857666,0.9595313668251038,8,0.07546422879156493,13649.142720332293,35.05053120000002
sandbar,sandbar,seashore,0.8473302721977234,0.5930521488189697,0.3272416591644287,4,0.07546422879156493,14823.13273232079,21.613587800000005
fur_coat,vestment,vestment,0.30591973662376404,0.8722074031829834,0.8692254424095154,16,0.07546422879156493,13898.835850530792,54.351747499999874
custard_apple,custard_apple,custard_apple,0.9982028007507324,0.997747004032135,0.9989560842514038,19,0,0,61.75202490000038
harvestman,walking_stick,walking_stick,0.22166764736175537,0.3696214556694031,0.977592945098877,2,0.07547788529571207,14643.065799210219,15.414535599999908
maraca,croquet_ball,croquet_ball,0.38500893115997314,0.8580877780914307,0.9868359565734863,15,0.07547925092393729,13141.31009450732,51.91385429999991
agama,agama,agama,0.9998134970664978,0.9995599389076233,0.9982730150222778,19,0,0,64.83273740000004
