Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
tiger_beetle,tiger_beetle,tiger_beetle,0.9108346104621887,0.9714648723602295,0.9926613569259644,19,0,0,5.608975491999445
stole,stole,gasmask,0.988911509513855,0.8947955369949341,0.2942247688770294,0,0.06729476106512058,48737.08139599662,2.0157469030000357
maraca,maraca,lighter,0.9827500581741333,0.968953549861908,0.5706864595413208,2,0.07640204903470331,72159.10737391365,2.448188375999962
airliner,airliner,web_site,0.9999673366546631,0.9938068389892578,0.3980294466018677,3,0.07641628852090103,55401.729747364385,2.717198117999942
patas,patas,patas,0.9373696446418762,0.9831749796867371,0.9817341566085815,19,0,0,4.59710869599985
rock_python,rock_python,fire_screen,0.9925518035888672,0.8751276731491089,0.7928227782249451,0,0.07664976498019913,36167.43742650286,2.414269339000384
jay,jay,spotlight,0.9457069635391235,0.9995934367179871,0.36587151885032654,1,0.07666343442119367,61141.95433579139,2.598493010000311
water_snake,water_snake,water_snake,0.7924345135688782,0.8403221368789673,0.9156530499458313,19,0,0,4.674700130999554
Boston_bull,French_bulldog,French_bulldog,0.5429947972297668,0.48711469769477844,0.5747048258781433,17,0.07667710345746452,40388.007056550836,4.516828118999911
aircraft_carrier,aircraft_carrier,aircraft_carrier,0.9969623684883118,0.9961166381835938,0.9372966289520264,19,0,0,4.830542100000457
groom,groom,bubble,0.9996784925460815,0.999072790145874,0.21798616647720337,0,0.07670671137462158,57154.61089011104,2.7407255310008622
hip,hip,matchstick,0.9999696016311646,0.9595931768417358,0.5029870271682739,0,0.07670671137462158,31516.29567382563,2.743495714999881
envelope,envelope,envelope,0.845842719078064,0.8955785036087036,0.9145693182945251,19,0,0,4.8183233969994035
solar_dish,solar_dish,analog_clock,0.4446684420108795,0.888936460018158,0.2190624475479126,6,0.07670671137462158,25160.820713959234,3.5171565689997806
hoopskirt,hoopskirt,cup,0.9997850060462952,0.9999901056289673,0.9343768954277039,1,0.07683254502253903,47321.26038050973,3.1079290859997855
dial_telephone,dial_telephone,hourglass,0.9874870777130127,0.9825098514556885,0.2765791416168213,0,0.07683254502253903,57967.786217864144,3.113525965000008
Loafer,Loafer,Loafer,0.49568498134613037,0.5684108734130859,0.5054547190666199,19,0,0,5.303436299998793
cinema,church,plunger,0.9631513357162476,0.3845636546611786,0.7616378664970398,0,0.07701759450477058,45423.556091525905,3.10262444700129
gas_pump,gas_pump,padlock,0.9999966621398926,0.9999990463256836,0.7182399034500122,0,0.07702499648405983,38258.451262433504,3.3383936019999965
safety_pin,safety_pin,safety_pin,0.9999995231628418,0.9999666213989258,0.9679762721061707,19,0,0,5.226568907999535
mitten,mitten,cloak,0.9995570778846741,0.9999980926513672,0.12800058722496033,1,0.07702499648405983,47586.25149137091,3.3616312490012206
American_Staffordshire_terrier,kelpie,fire_screen,0.8591540455818176,0.959746778011322,0.9999805688858032,0,0.07704720242192763,57897.32062885121,3.4042276199998014
eggnog,eggnog,eggnog,0.6994158625602722,0.9300518035888672,0.9989080429077148,19,0,0,5.281383386000016
seat_belt,seat_belt,seat_belt,0.7964065670967102,0.9328240752220154,0.9987731575965881,19,0,0,5.396091559001434
bobsled,bobsled,bobsled,0.9999580383300781,0.9994630217552185,0.9959744811058044,19,0,0,5.472251390001475
golfcart,swing,window_screen,0.9587091207504272,0.8930760622024536,0.7755948305130005,0,0.07705460440121689,37428.339931127055,3.8716087820012035
bobsled,bobsled,spotlight,0.9999996423721313,0.9990193843841553,0.2546555697917938,6,0.07705460440121689,70910.75435362397,4.314630254000804
ambulance,cab,cab,0.5992624759674072,0.7286562323570251,0.8843701481819153,1,0.07705460440121689,32773.901888545406,3.842493906000527
dalmatian,dalmatian,dalmatian,0.9996022582054138,0.9992271661758423,0.9994137287139893,19,0,0,5.713207175000207
flute,flute,oboe,0.6701102256774902,0.6006569266319275,0.4709978401660919,1,0.07706940835979541,15878.7714890038,3.971976597000321
quail,quail,cup,0.897369921207428,0.9842532277107239,1.0,0,0.0771286241941095,64159.457666037044,3.8798921210000117
wok,wok,fire_screen,0.6638402342796326,0.603238046169281,0.1859460026025772,0,0.0771286241941095,41190.78231837798,4.0249670060002245
milk_can,parking_meter,fire_screen,0.5024179220199585,0.9987055063247681,0.9999531507492065,0,0.0771286241941095,42533.49454253671,4.273587689000124
stinkhorn,stinkhorn,stinkhorn,0.9930589199066162,0.998497486114502,0.9985052347183228,19,0,0,6.187397225001405
doormat,doormat,doormat,0.9783934950828552,0.980792224407196,0.9998089671134949,19,0,0,6.307308118999572
tiger_cat,tiger_cat,fire_screen,0.8602739572525024,0.6149890422821045,0.9999501705169678,0,0.0771286241941095,47837.08924046278,4.269063543999437
picket_fence,window_shade,fire_screen,0.9972937703132629,0.5481273531913757,0.9999992847442627,0,0.07713602617339876,53827.43495653494,4.611686897000254
American_egret,earthstar,fire_screen,0.7500048875808716,0.36606088280677795,0.9601821303367615,1,0.0771508301319773,47497.99638932152,4.68999981900015
fire_engine,fire_engine,lighter,0.9997621178627014,0.9999583959579468,0.8756306171417236,4,0.0771508301319773,50302.31885311054,5.0290827640001226
odometer,odometer,car_mirror,1.0,1.0,0.3488651514053345,0,0.07717303606984507,45697.48444936548,4.7981255979993875
handkerchief,handkerchief,spotlight,0.9999808073043823,0.9999586343765259,0.1984134167432785,2,0.07717303606984507,57109.221523323184,5.034614333999343
Labrador_retriever,black-and-tan_coonhound,fire_screen,0.9291353821754456,0.9959510564804077,0.9999947547912598,0,0.07717303606984507,42378.86013096624,4.869503223999345
basset,basset,bloodhound,0.9999778270721436,0.9992213249206543,0.23187747597694397,2,0.07717303606984507,55005.78024171641,5.059570232000624
partridge,partridge,bubble,0.8263208270072937,0.7456373572349548,0.5871490836143494,0,0.07717303606984507,26433.87033712619,4.976973472999816
bassinet,bassinet,bassinet,0.9590831995010376,0.9293951392173767,0.7001718878746033,19,0,0,6.756149082000775
sea_urchin,sea_urchin,sea_urchin,0.8606154322624207,0.7974957227706909,0.968629777431488,19,0,0,6.730071597999995
Loafer,Loafer,Loafer,0.5257890224456787,0.49212440848350525,0.6392669677734375,19,0,0,6.838538313000754
toilet_seat,toilet_seat,toilet_seat,0.7740074992179871,0.8544974327087402,0.8773428201675415,19,0,0,6.975203984999098
Blenheim_spaniel,Blenheim_spaniel,Blenheim_spaniel,0.991849422454834,0.9986552000045776,0.9959179759025574,19,0,0,7.00586261099852
nail,syringe,lighter,0.5689101219177246,0.3940805494785309,0.8030633926391602,0,0.07717303606984507,66764.55144760579,5.395375932999741
power_drill,hair_spray,power_drill,0.2052934318780899,0.09732407331466675,0.34394362568855286,5,0.07717303606984507,70633.22849056243,5.6833013750001555
langur,patas,web_site,0.4978533685207367,0.9958578944206238,0.329198956489563,2,0.07717303606984507,51803.52293039538,5.460534146999635
disk_brake,disk_brake,spider_web,0.9999711513519287,0.9999873638153076,0.8253917098045349,1,0.07717303606984507,41485.446990480894,5.410833466999975
worm_fence,stone_wall,stone_wall,0.608404815196991,0.7951999306678772,0.902326762676239,0,0.07717303606984507,19392.975042525064,5.382865549998314
barracouta,barracouta,gasmask,0.9042951464653015,0.885936439037323,0.39040249586105347,0,0.07717303606984507,52502.74673767078,5.582416536999517
African_elephant,African_elephant,bubble,0.8969691395759583,0.8853259086608887,0.2782459855079651,2,0.07717303606984507,71536.06783993651,5.795098147998942
drake,drake,matchstick,1.0,1.0,0.20943552255630493,3,0.07717303606984507,45058.66824485606,5.911522752001474
picket_fence,picket_fence,fire_screen,1.0,0.9999990463256836,0.999956488609314,0,0.07717303606984507,47464.636699336486,5.688497637000182
fire_screen,vault,fire_screen,0.7912045121192932,0.47771209478378296,0.4253796637058258,9,0.07717303606984507,22230.53350686843,6.628120990999378
red_fox,grey_fox,grey_fox,0.4883640706539154,0.7029462456703186,0.6739265322685242,2,0.07717303606984507,40242.55122379793,6.021062785999675
Border_collie,Japanese_spaniel,lighter,0.8822801113128662,0.6585057973861694,0.9958783388137817,7,0.07717303606984507,47064.330973678996,6.625988357000097
