Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
vine_snake,harp,harp,0.8915818333625793,0.9564266800880432,0.9960083961486816,9,0.061787579366570235,14018.230023794016,4.451360256000044
water_bottle,horse_cart,horse_cart,0.7009149193763733,0.9847258925437927,0.9594368934631348,9,0.0706848173150636,13760.692024749336,3.0124027239999123
pillow,thimble,thimble,0.2808961272239685,0.4634830355644226,0.834472119808197,3,0.07441919079600884,14940.48359324423,2.460080891999496
marmot,marmot,marmot,0.7810800671577454,0.9599010348320007,0.7227785587310791,19,0,0,4.216055695999785
slot,vending_machine,vending_machine,0.792273759841919,0.9317914247512817,0.9912721514701843,8,0.07526236659482599,13739.392053508045,3.3078205210003944
Saluki,whippet,whippet,0.3668249845504761,0.60007244348526,0.8594514727592468,5,0.07544724838575914,14378.0565098347,2.8455696109995188
yellow_lady's_slipper,yellow_lady's_slipper,yellow_lady's_slipper,0.9998617172241211,0.9992308616638184,0.9999232292175293,19,0,0,4.450737490999018
timber_wolf,white_wolf,white_wolf,0.36426857113838196,0.8059357404708862,0.9461573362350464,9,0.07592210156995981,14627.130853315013,3.4582922939989658
stingray,tub,tub,0.12558670341968536,0.25495174527168274,0.9915002584457397,12,0.07592210156995981,13674.127979509332,3.8744321309986844
lacewing,bustard,bustard,0.43636980652809143,0.953309178352356,0.9995916485786438,15,0.07595170948711685,14500.10834442281,4.206294387000526
bonnet,stole,stole,0.5743655562400818,0.6053868532180786,0.9763374328613281,4,0.07595170948711685,14401.968441848496,3.30025736800053
stopwatch,digital_watch,digital_watch,0.41297295689582825,0.7797524333000183,0.7595871686935425,14,0.07595170948711685,15628.887676351123,4.226659179999842
shovel,pencil_sharpener,pencil_sharpener,0.3388722538948059,0.9656611680984497,0.9999574422836304,13,0.07595170948711685,14360.280742381048,4.151363932000095
strainer,bucket,bucket,0.514865517616272,0.9387514591217041,0.9962307810783386,14,0.07595170948711685,14727.673814964806,4.375089465000201
flagpole,toilet_tissue,eggnog,0.13786232471466064,0.4312712848186493,0.9966965913772583,9,0.07595170948711685,13496.27819067168,3.8550243259996932
corn,picket_fence,picket_fence,0.4147337079048157,0.5812989473342896,0.9957559704780579,8,0.07602572928000947,13411.896771150605,3.8974047190004057
barometer,sulphur-crested_cockatoo,sulphur-crested_cockatoo,0.31843724846839905,0.9830390214920044,0.9999405145645142,16,0.07606273917645578,13584.029225528044,4.782122258999152
kit_fox,grey_fox,grey_fox,0.3591787815093994,0.5392078757286072,0.736659586429596,10,0.07606273917645578,14100.1898214173,4.46426794800027
park_bench,flagpole,park_bench,0.4456925690174103,0.11375763267278671,0.9480281472206116,5,0.07607754313503431,13037.651513980576,3.8573701080003957
bow_tie,bow_tie,bow_tie,0.9019222259521484,0.8474870920181274,0.9998809099197388,19,0,0,5.332492812000055
odometer,odometer,odometer,0.9980844259262085,0.701378345489502,0.9934253692626953,19,0,0,5.301368112999626
puck,puck,puck,0.9869555830955505,0.9980619549751282,0.9996906518936157,19,0,0,5.35787866100145
freight_car,freight_car,freight_car,0.9990265369415283,0.9998588562011719,0.9979332685470581,19,0,0,5.417570528001306
disk_brake,disk_brake,disk_brake,0.9994577765464783,0.9996125102043152,0.9999779462814331,19,0,0,5.502026269999988
English_springer,skunk,skunk,0.39379075169563293,0.8783404231071472,0.9999890327453613,11,0.07607754313503431,13833.204401005574,4.7714431200001854
police_van,minibus,minibus,0.4705946743488312,0.7021177411079407,0.9503844380378723,13,0.07607754313503431,13184.127843736953,5.06898168799853
library,common_iguana,library,0.8646472692489624,0.8754377365112305,0.8432023525238037,15,0.07611455303148061,12729.270089050668,5.562818878001053
obelisk,bell_cote,obelisk,0.7195972204208374,0.4357829689979553,0.9428411722183228,6,0.07611455303148061,13273.14216755023,4.514464467001744
water_bottle,acorn,acorn,0.6630896925926208,0.954959511756897,0.999416708946228,15,0.0761367589693484,13137.794639892953,5.500992174000203
dock,lifeboat,lifeboat,0.2904125452041626,0.9901157021522522,0.9971768856048584,11,0.0761367589693484,14466.337062297422,5.180810557001678
gong,safety_pin,safety_pin,0.21063686907291412,0.9893702268600464,0.9999897480010986,12,0.0761367589693484,13237.488092534777,5.267902010000398
dalmatian,dalmatian,dalmatian,0.9998010993003845,0.9992751479148865,0.9984917640686035,19,0,0,6.022375521999493
stingray,stingray,electric_ray,0.7647345662117004,0.6610066890716553,0.9952772855758667,13,0.0761367589693484,13836.491607340353,5.392641630000071
football_helmet,strainer,football_helmet,0.8493450284004211,0.426758348941803,0.9806143045425415,13,0.07616636688650545,12080.2540536199,5.489903032001166
diaper,gasmask,gasmask,0.31667041778564453,0.8938554525375366,0.9277052879333496,10,0.07616636688650545,3336.517046262464,5.226651808001407
lampshade,pickelhaube,pickelhaube,0.5130807161331177,0.8360394835472107,0.9999992847442627,13,0.07616636688650545,13388.611354431048,5.585364692999065
fire_engine,bison,bison,0.6367287635803223,0.8183737397193909,0.7968993186950684,12,0.07616636688650545,13108.951407339948,5.613788399999976
spider_monkey,langur,langur,0.16454003751277924,0.9008779525756836,0.9512109756469727,8,0.07617376886579472,6066.2058982530425,5.596676979999756
desk,crash_helmet,crash_helmet,0.13004983961582184,0.3142280578613281,0.8949763774871826,9,0.07617376886579472,13956.192604001995,5.410623613999633
pitcher,caldron,caldron,0.2688877284526825,0.5893053412437439,0.865308940410614,7,0.07617376886579472,13887.2777389955,5.254878927999016
black_widow,black_widow,black_widow,0.992565393447876,0.995394766330719,0.9885657429695129,19,0,0,6.585185998999805
acorn,acorn,acorn,0.999992847442627,0.9999520778656006,0.9937625527381897,19,0,0,6.71387009800128
Egyptian_cat,malinois,malinois,0.20888866484165192,0.7492321133613586,0.9372991323471069,14,0.07617376886579472,14339.130761660555,6.269565595999666
yellow_lady's_slipper,sulphur_butterfly,yellow_lady's_slipper,0.9725887179374695,0.5013127326965332,0.9920651316642761,0,0.07617376886579472,14254.858750615525,4.794335626998873
spatula,butternut_squash,butternut_squash,0.2930886745452881,0.793483316898346,0.9938908815383911,1,0.07618857282437323,14489.947446419535,5.000440579999122
amphibian,tank,tank,0.6044739484786987,0.7976431250572205,0.6914799809455872,15,0.07618857282437323,14588.240606735275,6.492006828999365
photocopier,photocopier,photocopier,0.8888338804244995,0.5402336120605469,0.995332658290863,19,0,0,7.086624154000674
vulture,necklace,vulture,0.7266715168952942,0.3026324510574341,0.8436620235443115,5,0.07618857282437323,14035.005236906754,5.561724752000373
unicycle,unicycle,unicycle,0.9906156063079834,0.9777470231056213,0.9998273253440857,19,0,0,7.084107811000649
grey_fox,grey_fox,wild_boar,0.6363855004310608,0.7858796119689941,0.39958471059799194,2,0.07618857282437323,14277.30510285467,5.34538123800121
Rottweiler,Tibetan_mastiff,Tibetan_mastiff,0.6036356687545776,0.9914000034332275,0.9893290400505066,15,0.07618857282437323,14206.977546262258,7.150118547999227
liner,drilling_platform,drilling_platform,0.6933881640434265,0.5113668441772461,0.9868707060813904,18,0.07618857282437323,14416.206505180204,7.235032423999655
measuring_cup,sunscreen,sunscreen,0.6504794955253601,0.4543425440788269,0.9172722697257996,8,0.0761959748036625,10086.682209725852,6.243661795000662
redshank,Chesapeake_Bay_retriever,Chesapeake_Bay_retriever,0.7875407934188843,0.9972761273384094,0.9466218948364258,16,0.0761959748036625,14030.33841359502,7.2656350519991975
pinwheel,pinwheel,pinwheel,0.9994186162948608,0.9992938041687012,0.9999023675918579,19,0,0,7.638615481999295
motor_scooter,motor_scooter,motor_scooter,0.6291892528533936,0.5579077005386353,0.7490073442459106,19,0,0,7.553876288999163
