Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
rubber_eraser,rubber_eraser,lighter,0.9473784565925598,0.9089905023574829,0.5136587023735046,0,0.05004907518013254,68949.84280620224,6.079119711000203
matchstick,matchstick,fire_screen,0.6091213822364807,0.7746297121047974,0.9997453093528748,0,0.07136320688038926,19906.672348737746,2.040476356999534
Airedale,Airedale,Airedale,0.9986644983291626,0.9987601041793823,0.9988604784011841,19,0,0,4.00188479299959
artichoke,artichoke,window_screen,0.9912484884262085,0.947346031665802,0.3311879634857178,1,0.07343508730253,40080.712755638466,2.231878794000295
guenon,guenon,guenon,0.9726717472076416,0.9770733118057251,0.9998067021369934,19,0,0,4.3235904160001155
jack-o'-lantern,matchstick,lens_cap,0.8998976945877075,0.6341973543167114,0.9298374056816101,0,0.0752065809463816,33329.182753256944,2.329447342000094
bustard,partridge,ruffed_grouse,0.4120747148990631,0.47774234414100647,0.5383296012878418,0,0.07561761546723952,42256.04388723582,2.373864787000457
dial_telephone,dial_telephone,dial_telephone,0.9782249927520752,0.979951024055481,0.887035608291626,19,0,0,4.346379276999869
zucchini,zucchini,zucchini,0.5637849569320679,0.6305127739906311,0.8915430307388306,19,0,0,4.345478950999677
solar_dish,solar_dish,solar_dish,0.993818461894989,0.9604195952415466,0.9993239641189575,19,0,0,4.50290218400005
eggnog,eggnog,candle,0.5245811343193054,0.47194674611091614,0.7173133492469788,0,0.0762214983713355,19047.479623299245,2.7804865940006493
dalmatian,dalmatian,gasmask,0.9999998807907104,1.0,0.7447202205657959,1,0.07627620514035295,44006.51538124781,2.813238077999813
kit_fox,red_fox,red_wolf,0.6477132439613342,0.3486200273036957,0.4897926449775696,0,0.07633774251093658,40216.050315763234,2.75020005999977
bald_eagle,bald_eagle,bald_eagle,0.33040550351142883,0.8640272617340088,0.9921388030052185,19,0,0,4.736970236999696
Indian_cobra,Indian_cobra,Indian_cobra,0.8793939352035522,0.9412650465965271,0.9675054550170898,19,0,0,4.815838002000419
hip,hip,hip,0.9936528205871582,0.9918860197067261,0.9970865845680237,19,0,0,4.839713554999435
golfcart,golfcart,golfcart,1.0,1.0,0.9999997615814209,19,0,0,4.908287386999291
torch,torch,sax,0.9752494096755981,0.9708271622657776,0.4730580449104309,0,0.076351416368737,28189.493060358498,3.0577232369996636
bald_eagle,American_egret,fire_screen,0.8679841756820679,0.42075178027153015,0.9994295239448547,0,0.07639582824447257,41014.77777582124,3.1440144149992193
hammerhead,hammerhead,syringe,0.9894922971725464,0.9860571622848511,0.6152477860450745,1,0.0764106322030511,56744.18721772302,3.373569254999893
jinrikisha,jinrikisha,jinrikisha,0.8748189210891724,0.9978916049003601,0.9999850988388062,19,0,0,5.218141194000054
knot,knot,web_site,0.9997089505195618,0.999716579914093,0.6817912459373474,10,0.0764476420994974,27464.602218127973,4.371944678999171
dome,dome,dome,0.9814530611038208,0.8374205827713013,0.7883055210113525,19,0,0,5.35248671699992
lacewing,lacewing,lacewing,0.9958211183547974,0.9860892295837402,0.9834327101707458,19,0,0,5.4271410679994005
beaver,beaver,mink,0.999805748462677,0.9999743700027466,0.7897143959999084,1,0.07646244605807594,40712.45797050333,3.577733948000059
hamster,hamster,bubble,0.9999997615814209,0.9999996423721313,0.39995884895324707,3,0.07646984803736519,56603.94292803285,3.9227929170001516
tree_frog,tree_frog,fire_screen,0.9994888305664062,0.9999363422393799,0.9222097396850586,2,0.07646984803736519,45546.90935727692,3.867012829000487
