Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
manhole_cover,barrow,barrow,0.6127534508705139,0.5384795069694519,0.9950541257858276,4,0.054998563413933374,15722.139708067729,6.826452495000012
Chesapeake_Bay_retriever,Chesapeake_Bay_retriever,Chesapeake_Bay_retriever,0.9997195601463318,0.9920226335525513,0.958113968372345,19,0,0,3.7100329859995327
squirrel_monkey,macaque,rifle,0.21367770433425903,0.25893497467041016,0.7560364007949829,12,0.07442701424961652,14323.224218031357,3.141278723999676
Boston_bull,American_Staffordshire_terrier,Boston_bull,0.27059441804885864,0.3527604341506958,0.9976024031639099,11,0.07470127638138839,14618.791571125159,3.1379785460003404
caldron,warthog,warthog,0.977999746799469,0.8579884767532349,0.7983338832855225,12,0.07525488482981764,14011.981123310152,3.289830101000007
envelope,envelope,slide_rule,0.2852081060409546,0.5482040643692017,0.9041287899017334,6,0.07535813436979456,13938.463868016446,2.8052250830005505
sombrero,hay,hay,0.33997872471809387,0.9399604201316833,0.9989666938781738,6,0.07541345256955034,14130.264081042505,2.8830390679995617
cloak,theater_curtain,theater_curtain,0.22072137892246246,0.9757387042045593,0.9853105545043945,7,0.07547099974090388,14956.053557004936,3.0418060389993116
ringlet,sulphur_butterfly,ringlet,0.8357376456260681,0.36353814601898193,0.9193909168243408,9,0.07550521874306018,14406.415411197888,3.3343317809994915
tree_frog,tree_frog,tree_frog,0.7911175489425659,0.9820798635482788,0.9988510608673096,19,0,0,4.390652934999707
pencil_sharpener,pencil_sharpener,pencil_sharpener,0.9864336252212524,0.9586011171340942,0.9989235997200012,19,0,0,4.427704763999827
unicycle,unicycle,unicycle,0.99978107213974,0.9995669722557068,0.9999984502792358,19,0,0,4.401304234000236
bluetick,German_short-haired_pointer,German_short-haired_pointer,0.361395925283432,0.918655514717102,0.9919562339782715,3,0.07560437608254748,14213.703458282786,3.0111924809998527
drake,drake,drake,0.9999979734420776,0.9999985694885254,0.99998939037323,19,0,0,4.477971915000126
crib,wardrobe,wardrobe,0.30629411339759827,0.8224772214889526,0.7669957280158997,11,0.0756112184398108,15002.282026411849,3.695186337999985
Labrador_retriever,Labrador_retriever,Labrador_retriever,0.1494237631559372,0.3490942120552063,0.5876836180686951,19,0,0,4.5623348350000015
saltshaker,thimble,thimble,0.3391980528831482,0.736485481262207,0.9031181931495667,2,0.07565563031554638,14605.26504381211,3.031790711999747
Airedale,lorikeet,Airedale,0.9999780654907227,0.8353342413902283,0.999083399772644,18,0.07566303229483563,12749.764311547096,4.850267765000353
window_screen,pick,pick,0.13244879245758057,0.6097912192344666,0.8734126687049866,7,0.07566303229483563,14717.378502980753,3.743542829999569
turnstile,punching_bag,punching_bag,0.376436710357666,0.9971289038658142,0.9971188306808472,4,0.07566303229483563,13605.244503499376,3.4966356499999165
Sussex_spaniel,chain,Sussex_spaniel,0.9334939122200012,0.8416335582733154,0.9927871823310852,9,0.07566303229483563,12786.637439139346,4.177036424000107
gasmask,power_drill,power_drill,0.0909101665019989,0.5251271724700928,0.9662603139877319,7,0.07566303229483563,14346.398816427765,3.862394667999979
rocking_chair,rocking_chair,rocking_chair,0.7665367126464844,0.5868872404098511,0.9983994364738464,19,0,0,5.020988274000047
teddy,koala,teddy,0.8618568778038025,0.7002654075622559,0.7281502485275269,10,0.07566303229483563,13819.97460200271,4.213943318999554
collie,borzoi,borzoi,0.5786844491958618,0.9085492491722107,0.8701074719429016,3,0.07566303229483563,14315.310056020442,3.6569248269997843
bannister,snowplow,snowplow,0.2098052203655243,0.5576674938201904,0.9279501438140869,18,0.07566303229483563,14406.30799337568,5.333459559000403
snail,snail,snail,0.9994180202484131,0.9452300667762756,0.9988766312599182,19,0,0,5.366641653999977
umbrella,umbrella,umbrella,0.6995851397514343,0.9214896559715271,0.942566990852356,19,0,0,5.3862882010007525
ice_cream,trifle,trifle,0.6445109844207764,0.6612057089805603,0.9930688142776489,10,0.07573705208772825,13955.423103582349,4.4836636319996614
accordion,theater_curtain,theater_curtain,0.6323171854019165,0.8921422958374023,0.9556875824928284,12,0.07574445406701752,13622.72714987715,4.736250283999652
peacock,collie,collie,0.3453201651573181,0.8042720556259155,0.9547991156578064,5,0.07574445406701752,14418.075426352852,4.182030245000533
saltshaker,tennis_ball,tennis_ball,0.21444517374038696,0.7914843559265137,0.9967504739761353,9,0.07574445406701752,14399.338943159855,4.729479091999565
running_shoe,sea_snake,sea_snake,0.19261108338832855,0.642010509967804,0.9839609861373901,2,0.07574445406701752,14566.589031066951,4.056673272999433
electric_fan,loudspeaker,loudspeaker,0.8197987675666809,0.8293499946594238,0.9143064618110657,12,0.07575185604630678,15178.051752448337,5.104527278000205
West_Highland_white_terrier,Norwich_terrier,Norwich_terrier,0.4288659691810608,0.7760176658630371,0.9182921648025513,3,0.07575185604630678,14510.492961991333,4.272060742000576
radio_telescope,volcano,volcano,0.7986195683479309,0.7491231560707092,0.9958105087280273,17,0.07575925802559605,14637.079080199028,5.694210228999509
swab,African_grey,African_grey,0.5712267756462097,0.9999992847442627,0.9999361038208008,17,0.0757666600048853,13440.854288325576,6.175888304000182
bullfrog,whippet,whippet,0.7404918074607849,0.9371534585952759,0.9980112314224243,13,0.0757666600048853,14170.492581417204,5.678807287999916
cuirass,jersey,jersey,0.5742242932319641,0.9708098769187927,0.9898603558540344,13,0.0757666600048853,13986.760990307941,5.76800155500041
African_hunting_dog,African_hunting_dog,African_hunting_dog,0.9999426603317261,0.9999469518661499,0.9995755553245544,19,0,0,6.400581379999494
tiger_beetle,tiger_beetle,tiger_beetle,0.9929779171943665,0.9462541937828064,0.9948686361312866,19,0,0,6.407542189999731
African_elephant,African_elephant,African_elephant,0.8580400347709656,0.9830328822135925,0.8380549550056458,19,0,0,6.46551379200082
chickadee,house_finch,brambling,0.49708065390586853,0.37136027216911316,0.9997312426567078,14,0.0757666600048853,13258.960630456673,6.042443246999937
swing,mailbag,mailbag,0.47868040204048157,0.7387279272079468,0.9707203507423401,4,0.0757666600048853,7150.865542016575,5.186321409999437
sombrero,bow_tie,bow_tie,0.6889799237251282,0.9197127223014832,0.9999169111251831,7,0.0757666600048853,14274.910612679856,5.6093622340004
eggnog,eggnog,eggnog,0.30364376306533813,0.4508357644081116,0.9980791807174683,19,0,0,6.757407708999381
soccer_ball,soccer_ball,soccer_ball,0.9987466335296631,0.997837245464325,0.9995204210281372,19,0,0,6.775993247999395
wolf_spider,wolf_spider,wolf_spider,0.8079014420509338,0.9423500895500183,0.9900059103965759,19,0,0,6.86946998700023
table_lamp,candle,candle,0.2151244580745697,0.7842276692390442,0.9910716414451599,8,0.0757666600048853,13942.418871917454,5.804491510999469
triceratops,triceratops,triceratops,0.9958815574645996,0.9940844178199768,0.9982104301452637,19,0,0,6.966748034000375
bubble,car_mirror,car_mirror,0.4474247992038727,0.9995180368423462,0.9979331493377686,13,0.0757666600048853,13304.018716162422,6.729330484000457
pick,pick,pick,0.9999916553497314,0.9999988079071045,0.9999877214431763,19,0,0,7.158223125999939
chime,water_tower,water_tower,0.6671814322471619,0.96142578125,0.9999682903289795,12,0.0757666600048853,13713.143622087533,6.471710611000162
tiger_beetle,dung_beetle,dung_beetle,0.30547526478767395,0.6160951852798462,0.867718517780304,5,0.0757666600048853,13572.260312858725,5.924042952000491
dogsled,horse_cart,horse_cart,0.4455379545688629,0.9933652281761169,0.993995726108551,13,0.07577406198417456,14093.771886900966,6.766904101000364
airliner,airliner,airliner,0.940878689289093,0.9140386581420898,0.8669394254684448,19,0,0,7.416434814999775
vending_machine,turnstile,turnstile,0.5380217432975769,0.4421340823173523,0.9966939687728882,10,0.07577406198417456,14306.404649666527,6.52453917100047
piggy_bank,maraca,maraca,0.3401789665222168,0.6386954188346863,0.9711384177207947,9,0.07577406198417456,14570.803237982454,6.48739893200036
hair_slide,safety_pin,safety_pin,0.7276120185852051,0.8706938028335571,0.9871019721031189,10,0.07577406198417456,15054.096153539076,6.65857047100053
beaver,beaver,beaver,0.9820677638053894,0.9981763362884521,0.9980904459953308,19,0,0,7.6303074799998285
