Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
bottlecap,bottlecap,bottlecap,0.9985803365707397,0.9998252987861633,0.9989367127418518,19,0,0,57.825928499999996
Norfolk_terrier,Norfolk_terrier,lighter,0.3834962844848633,0.3597635328769684,0.5517730712890625,1,0.06279377093000556,57830.53385539511,9.541177599999997
beagle,beagle,beagle,0.9941446185112,0.9949565529823303,0.9906045794487,19,0,0,65.1532353
prairie_chicken,prairie_chicken,prairie_chicken,1.0,1.0,0.9879000186920166,19,0,0,62.13530920000002
Madagascar_cat,Madagascar_cat,Madagascar_cat,0.9833661913871765,0.9747185111045837,0.9941866397857666,19,0,0,58.53415789999997
jack-o'-lantern,candle,jack-o'-lantern,0.9616933465003967,0.2064536064863205,0.7132940292358398,1,0.07183331102485165,42809.408825630846,10.364358699999968
king_crab,king_crab,cleaver,0.9970189332962036,0.9866201877593994,0.6318622827529907,9,0.07486472463123564,34282.99574132926,32.90182010000001
bath_towel,bath_towel,lighter,0.9989180564880371,0.9675145149230957,0.8999032974243164,0,0.07582197867298578,47209.27659899058,7.32558130000001
English_foxhound,English_foxhound,English_foxhound,0.6767815351486206,0.8651302456855774,0.33235055208206177,19,0,0,58.43991099999994
red_wine,red_wine,goblet,0.9955184459686279,0.9959238767623901,0.40973496437072754,2,0.0762295324667634,43985.777678699735,12.717703299999926
notebook,laptop,laptop,0.4754430055618286,0.3988506495952606,0.8325810432434082,5,0.07625004626374034,63559.62613955497,20.321810099999993
hamster,hamster,loudspeaker,0.9889518618583679,0.9684289693832397,0.3337884843349457,0,0.07641916548850085,50304.226074953185,7.698240700000042
bison,ibex,fire_screen,0.49976539611816406,0.45963120460510254,0.785402238368988,0,0.07652906387167929,37322.510995376506,7.727340900000058
rhinoceros_beetle,rhinoceros_beetle,rhinoceros_beetle,0.7208917737007141,0.9240148663520813,0.9847262501716614,19,0,0,56.068823899999984
mosquito_net,mosquito_net,lighter,0.9999799728393555,0.9809803366661072,0.9825365543365479,8,0.07664749554030748,44937.39186913277,28.29581529999996
half_track,half_track,trailer_truck,0.878424882888794,0.9675672650337219,0.7184077501296997,0,0.07665489751959674,41035.66794874917,7.9907484000000295
bonnet,bonnet,syringe,0.9999946355819702,0.9999362230300903,0.22672131657600403,0,0.07665489751959674,42009.29601885754,8.011985699999968
zucchini,zucchini,zucchini,0.974000096321106,0.9551030397415161,0.9960101842880249,19,0,0,57.05407720000005
teddy,teddy,bubble,0.9923149943351746,0.8334926962852478,0.39157888293266296,0,0.076662299498886,37276.04219870988,8.636508699999922
black_widow,black_widow,barn_spider,0.9968165755271912,0.9976441264152527,0.4338395595550537,11,0.07666970147817527,84051.65347570504,37.58893510000007
lakeside,lakeside,seashore,0.9265764355659485,0.789517879486084,0.5277666449546814,1,0.07666970147817527,68171.4361444733,11.123424900000145
breakwater,seashore,window_screen,0.8528934717178345,0.2646021842956543,0.88092041015625,0,0.07669190741604305,58873.174578920065,8.470366699999886
yellow_lady's_slipper,jack-o'-lantern,fire_screen,0.9995624423027039,0.8924540877342224,0.9998832941055298,0,0.0768177410639605,31573.40399766867,8.974714400000039
Pekinese,Pekinese,Pekinese,0.9991017580032349,0.976945161819458,0.7777255773544312,19,0,0,60.186618199999884
groom,groom,groom,0.982653796672821,0.9489603042602539,0.9962453246116638,19,0,0,60.79618359999995
saltshaker,thimble,thimble,0.2794532775878906,0.6033374071121216,0.9193626046180725,0,0.0768177410639605,33477.86975003039,8.922600599999896
gasmask,hair_spray,power_drill,0.3447624742984772,0.20655401051044464,0.2344626635313034,0,0.0768177410639605,59371.26749531292,8.97101409999982
safe,safe,safe,0.6650294065475464,0.9177727103233337,0.9061527252197266,19,0,0,59.90740440000013
odometer,odometer,odometer,0.9999624490737915,0.9999971389770508,0.9995429515838623,19,0,0,60.98182540000016
clumber,clumber,web_site,0.522779107093811,0.666337788105011,0.3004176914691925,0,0.0768177410639605,74249.37536437596,9.738452199999983
puck,puck,puck,0.9989107847213745,0.9770182371139526,0.9997742772102356,19,0,0,63.83604360000004
slot,slot,slot,0.9993314743041992,0.9999840259552002,0.9999645948410034,19,0,0,60.91606559999991
bassinet,toilet_tissue,lighter,0.6622344851493835,0.5091601014137268,0.8246412873268127,1,0.0768177410639605,66951.45596624468,12.7866626
bonnet,hair_slide,hair_slide,0.20260721445083618,0.3628329038619995,0.7301343083381653,0,0.0768177410639605,17696.31077371778,10.328396900000143
