Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
pop_bottle,beer_bottle,beer_bottle,0.5446006655693054,0.8487058877944946,0.9736179113388062,8,0.049590110902212714,14260.743458880395,31.458710500000002
colobus,colobus,colobus,0.9750046133995056,0.9822383522987366,0.9988995790481567,19,0,0,54.80537609999999
face_powder,face_powder,face_powder,0.9998038411140442,0.9989399313926697,0.9991857409477234,19,0,0,57.8922178
custard_apple,artichoke,artichoke,0.826610267162323,0.9344725608825684,0.977581799030304,6,0.0611526749125907,14788.637530212172,22.36679939999999
sandbar,sarong,sarong,0.3535248935222626,0.8687227964401245,0.9172715544700623,6,0.06721251466094921,13707.2337107091,21.4875969
vacuum,seat_belt,seat_belt,0.2087317854166031,0.8734132647514343,0.9986101388931274,4,0.0712160433217293,13816.100571434763,16.537561200000027
tape_player,carpenter's_kit,carpenter's_kit,0.22713686525821686,0.8767743706703186,0.9587349891662598,8,0.07309142738367432,14884.755355732254,26.180323000000044
ashcan,bucket,bucket,0.485251784324646,0.9283888936042786,0.9973044395446777,13,0.07517165268015198,14244.737414217223,45.724457599999994
lacewing,leafhopper,leafhopper,0.3275192677974701,0.806557834148407,0.9801007509231567,4,0.0757232536791922,14494.564670937862,19.00890549999997
loudspeaker,loudspeaker,loudspeaker,0.9179949164390564,0.9231337904930115,0.9457105994224548,19,0,0,54.98711259999993
balloon,parachute,parachute,0.3685329854488373,0.9286820888519287,0.983357846736908,4,0.07581219420120358,14635.996105492786,18.738743099999965
power_drill,seat_belt,seat_belt,0.11101836711168289,0.8905280828475952,0.9975876808166504,4,0.07581219420120358,13494.806741854438,17.440067699999986
dragonfly,dragonfly,dragonfly,0.9998212456703186,0.9783577919006348,0.9998557567596436,19,0,0,54.31239329999994
drake,drake,drake,1.0,0.9999991655349731,0.9999724626541138,19,0,0,54.70430950000002
great_grey_owl,bustard,bustard,0.40945640206336975,0.9982692003250122,0.9997166991233826,15,0.07587028771493497,14533.259682535092,47.14225680000004
cheetah,cheetah,cheetah,0.9998387098312378,0.9954482913017273,0.9987626075744629,19,0,0,61.88296330000003
weasel,badger,badger,0.29742997884750366,0.9959990978240967,0.9991119503974915,2,0.07587028771493497,14271.645910685986,18.78131570000005
rotisserie,rotisserie,rotisserie,0.9999995231628418,1.0,0.9999957084655762,19,0,0,83.50806650000004
vault,fire_screen,fire_screen,0.5283753871917725,0.7847049236297607,0.9148864150047302,6,0.07587028771493497,14623.551107716621,26.770893299999898
skunk,peacock,skunk,0.8981476426124573,0.6109104156494141,0.9999850988388062,2,0.07587028771493497,14161.188191673747,14.59943270000008
green_mamba,Madagascar_cat,Madagascar_cat,0.2801397442817688,0.7166345715522766,0.9955567717552185,10,0.07593690552853834,14252.548473869507,36.65669650000018
triceratops,triceratops,triceratops,1.0,1.0,0.9999996423721313,19,0,0,60.93080880000002
leaf_beetle,leaf_beetle,leaf_beetle,0.9996448755264282,0.2984420657157898,0.9910799860954285,19,0,0,60.223208900000145
wallaby,teddy,teddy,0.5071225762367249,0.8210331201553345,0.8995025753974915,17,0.07593690552853834,14360.342161661747,53.161974499999815
iPod,lens_cap,lens_cap,0.30326104164123535,0.2969023585319519,0.92963707447052,6,0.07593690552853834,14121.398478904275,23.763742899999897
spaghetti_squash,butternut_squash,butternut_squash,0.5596283674240112,0.9941698312759399,0.9993476271629333,12,0.07593690552853834,14387.551702774173,39.149939399999994
snowplow,thimble,snowplow,0.6433421969413757,0.43660804629325867,0.9998458623886108,9,0.07593690552853834,14063.214604065459,31.513694700000087
cornet,reflex_camera,reflex_camera,0.22230321168899536,0.6858474612236023,0.9194712042808533,0,0.07593690552853834,13387.41920610541,9.423495800000182
