Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
badger,badger,badger,0.9869499802589417,0.9961757659912109,0.9957008957862854,19,0,0,68.31288773400047
golfcart,golfcart,golfcart,1.0,1.0,0.9999196529388428,19,0,0,68.11476095000035
suspension_bridge,promontory,promontory,0.13633008301258087,0.7086712121963501,0.9616259336471558,3,0.05445540805585636,14587.897346773454,15.927581310999813
white_stork,stage,stage,0.23422421514987946,0.9651462435722351,0.9502865672111511,14,0.06773536021742214,14350.698763474898,52.1452004519997
goldfinch,bee_eater,bee_eater,0.4492223858833313,0.7380906939506531,0.8816019892692566,5,0.07064970637053136,14358.503125326122,23.015822188999664
flat-coated_retriever,flat-coated_retriever,Labrador_retriever,0.5037221908569336,0.4826424717903137,0.7679181694984436,0,0.07300250939165813,14047.95191478103,6.3967874330000996
crib,yurt,yurt,0.6242676377296448,0.9482508301734924,0.9969308972358704,14,0.07395128752818322,13457.913062581434,51.97520381200047
dragonfly,dragonfly,dragonfly,0.9814836382865906,0.993474543094635,0.999841570854187,19,0,0,69.34917308399963
shopping_basket,shopping_basket,shopping_basket,0.9999417066574097,0.9995174407958984,0.9995874762535095,19,0,0,69.22945269000047
jellyfish,king_crab,king_crab,0.15718889236450195,0.8640515208244324,0.9982932209968567,2,0.07506259537460924,14749.128855630763,13.161297442999967
knot,knot,knot,0.9958032965660095,0.9922775030136108,0.9995163679122925,19,0,0,69.31503093999982
chest,carpenter's_kit,carpenter's_kit,0.15056373178958893,0.6100319623947144,0.9315339922904968,6,0.07535027696318018,14361.150476197929,26.127944163999928
electric_ray,parachute,stingray,0.7128647565841675,0.737879753112793,0.992110550403595,9,0.07549405066009167,14022.5939825697,36.08135999099977
doormat,honeycomb,honeycomb,0.18154692649841309,0.2394113838672638,0.9947581887245178,1,0.07563093642885169,13393.805508517735,10.136784476000685
safe,lampshade,pay-phone,0.22987666726112366,0.8326902985572815,0.8652817606925964,8,0.07572673235078577,14277.05361760612,33.22670410699993
Saluki,Saluki,Saluki,0.9763651490211487,0.8679327368736267,0.9927413463592529,19,0,0,69.66856043100051
mosque,mosque,mosque,0.9363019466400146,0.9981291890144348,0.9717288613319397,19,0,0,68.49455401900013
butternut_squash,butternut_squash,butternut_squash,0.6395869255065918,0.9942761063575745,0.9994394183158875,19,0,0,69.56499313199947
knot,black_swan,black_swan,0.8713936805725098,0.9244044423103333,0.9898114204406738,16,0.0757472574651724,12165.217548404138,60.06583900399983
Chesapeake_Bay_retriever,Labrador_retriever,Labrador_retriever,0.41877734661102295,0.6584341526031494,0.8882861733436584,5,0.0757677816679867,13837.603983349141,23.890496142999837
frilled_lizard,frilled_lizard,frilled_lizard,0.9983659386634827,0.9984279870986938,0.9997546076774597,19,0,0,69.0643235890002
chest,crate,crate,0.473744660615921,0.9644858837127686,0.8572899699211121,10,0.07577462286636368,14210.2534108298,40.071213489
paintbrush,matchstick,matchstick,0.3984858989715576,0.9106295108795166,0.9781468510627747,8,0.0757888659427531,14120.355909112206,33.66761592199964
caldron,wok,wok,0.24618768692016602,0.7025014758110046,0.9100576043128967,14,0.0757888659427531,13172.865291955277,53.31746229199962
patas,patas,patas,0.30590930581092834,0.9790642857551575,0.9892010688781738,19,0,0,69.45625841699984
keeshond,keeshond,keeshond,0.9994155168533325,0.9997013211250305,0.9999346733093262,19,0,0,70.53784645699943
sunglass,car_mirror,car_mirror,0.3975687623023987,0.9937751293182373,0.9976149797439575,11,0.07579626792204236,14284.333201098329,43.70248881099997
Saluki,whippet,whippet,0.39914530515670776,0.37402528524398804,0.8656752705574036,10,0.07579626792204236,14494.8397714497,40.3261951150007
water_bottle,hay,hay,0.21465352177619934,0.8505102396011353,0.9949479103088379,10,0.07579626792204236,14113.723605059015,40.86264364899944
flat-coated_retriever,Labrador_retriever,Labrador_retriever,0.45467519760131836,0.4149647653102875,0.7372478246688843,0,0.07579626792204236,14450.318820012242,7.901547135000328
custard_apple,custard_apple,custard_apple,0.9061381816864014,0.9976208806037903,0.9985997080802917,19,0,0,69.24787457999992
cup,candle,candle,0.6020075082778931,0.3368697166442871,0.9870979189872742,3,0.07579626792204236,14609.79657627032,17.6386587650004
toy_poodle,soft-coated_wheaten_terrier,soft-coated_wheaten_terrier,0.3561971187591553,0.381221204996109,0.9926234483718872,5,0.07581847385991014,13268.866530340863,24.49902649500018
Chesapeake_Bay_retriever,bubble,Chesapeake_Bay_retriever,0.9999853372573853,0.9762144684791565,0.9580029249191284,18,0.07581847385991014,13487.150069603289,67.22261431700008
syringe,plunger,plunger,0.5824155211448669,0.9705450534820557,0.9325323700904846,10,0.07583327781848867,13387.01662059176,41.23909269200067
bucket,water_jug,bucket,0.9535096287727356,0.3035694360733032,0.998088538646698,14,0.07583327781848867,13612.119232507479,52.90164085499964
gar,sturgeon,sturgeon,0.6177275776863098,0.8778730630874634,0.9978235960006714,7,0.07583327781848867,14581.527080522123,30.82540625599995
