Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
seat_belt,seat_belt,seat_belt,0.7977488040924072,0.9336532950401306,0.9988049268722534,19,0,0,56.3845513
Tibetan_mastiff,Tibetan_mastiff,fire_screen,0.9999986886978149,0.9999037981033325,0.5886974334716797,0,0.07311296238547096,50998.543008599765,6.900053100000008
pencil_sharpener,pencil_sharpener,syringe,0.999997615814209,0.9999576807022095,0.6216689348220825,1,0.07450215744131908,54593.899027272266,9.756330899999995
hermit_crab,hermit_crab,hermit_crab,0.9743362069129944,0.8169546723365784,0.997879147529602,19,0,0,56.689487299999996
yellow_lady's_slipper,yellow_lady's_slipper,window_screen,0.9999990463256836,0.9999432563781738,0.5214760303497314,0,0.07559926244622003,31572.520076800964,7.418593199999975
badger,badger,skunk,0.32933950424194336,0.9413819909095764,0.7807121872901917,10,0.07577373019398785,51049.30699823456,32.958210199999996
red-breasted_merganser,red-breasted_merganser,red-breasted_merganser,0.9913520812988281,0.9961870312690735,0.9894852042198181,19,0,0,56.83509570000001
ringlet,ringlet,ringlet,0.9427582025527954,0.8866742849349976,0.5870630741119385,19,0,0,56.90708519999998
chime,chime,chime,0.8912981748580933,0.888268232345581,0.5698934197425842,19,0,0,55.852435300000025
butternut_squash,butternut_squash,wooden_spoon,0.9814823865890503,0.9979331493377686,0.21102198958396912,1,0.0759721368875334,34209.59137434997,11.827459399999952
quill,puck,cup,0.7627421021461487,0.9999845027923584,1.0,1,0.07635480742895635,50968.48695027154,11.200939500000004
German_short-haired_pointer,German_short-haired_pointer,Kerry_blue_terrier,0.8722751140594482,0.7137139439582825,0.28403937816619873,0,0.07636848143898738,32529.33007302794,8.727639000000067
malinois,malinois,vacuum,0.43482673168182373,0.5937485694885254,0.245347797870636,11,0.07638215504415347,33814.790728318876,41.57228759999998
pay-phone,pay-phone,window_screen,0.9627384543418884,0.8347786664962769,0.40856242179870605,0,0.07639582824447257,28736.69203300895,10.083737400000018
fire_screen,fire_screen,fire_screen,0.8582981824874878,0.9417935609817505,0.9986704587936401,19,0,0,65.76841260000003
stinkhorn,stinkhorn,stinkhorn,0.9830015897750854,0.9907461404800415,0.9999880790710449,19,0,0,57.58489159999999
padlock,shoe_shop,gasmask,0.9790923595428467,0.19910788536071777,0.2688016891479492,0,0.07642543616162963,30326.805205956,8.119936300000063
hammerhead,great_white_shark,fire_screen,0.9830425977706909,0.6409543752670288,0.6349815130233765,0,0.07645504407878667,40893.250176526686,8.266703700000107
Polaroid_camera,Polaroid_camera,Polaroid_camera,0.9993950128555298,0.9968648552894592,0.9925757646560669,19,0,0,59.332566199999974
coral_reef,tarantula,tarantula,0.5805741548538208,0.6174615621566772,0.9971891045570374,1,0.07646244605807594,68339.1707002653,11.110785999999962
cheetah,bustard,fire_screen,0.6215019226074219,0.9998241066932678,0.969351589679718,0,0.07647725001665445,47423.496960894816,11.968087100000048
trifle,lampshade,fire_screen,0.7691671252250671,0.5647748708724976,0.9999909400939941,0,0.07649205397523298,45732.05771666086,9.019274300000006
Weimaraner,Weimaraner,Labrador_retriever,0.9956918358802795,0.981882631778717,0.7046865224838257,0,0.07649945595452223,45440.36146423133,8.746061499999996
carton,carton,carton,0.32079458236694336,0.2418932467699051,0.9919843077659607,19,0,0,60.38429129999986
chickadee,chickadee,chickadee,0.9916079044342041,0.9992209672927856,0.9877814054489136,19,0,0,61.53131609999991
four-poster,shovel,cup,0.5289878845214844,0.40815940499305725,0.9842582941055298,2,0.07653646585096854,70770.43971885437,14.62341709999987
obelisk,obelisk,obelisk,0.9975141286849976,0.9903642535209656,0.9700863361358643,19,0,0,65.50020569999992
aircraft_carrier,aircraft_carrier,aircraft_carrier,0.997430145740509,0.9963269829750061,0.9377922415733337,19,0,0,61.70576320000009
half_track,half_track,half_track,0.9996334314346313,0.9999313354492188,0.9993699193000793,19,0,0,61.79891780000003
hair_slide,hair_slide,hair_slide,0.19391372799873352,0.2898247539997101,0.9391734600067139,19,0,0,61.43803649999995
West_Highland_white_terrier,Norwich_terrier,Norwich_terrier,0.5584844350814819,0.8991985321044922,0.6427626609802246,4,0.07653646585096854,39752.14423147511,21.35331899999983
