Original Prediction,Prediction 1,Prediction 2,Prediction 3,Iter Num,Averaged NC,L2 Distance
hair_slide,toilet_tissue,hair_slide,bubble,0,0.013157158948385912,32363.3617227877
colobus,colobus,colobus,vulture,1,0.021385376141365566,24853.972338441192
fire_screen,fire_screen,fire_screen,fire_screen,19,0,0
maze,maze,maze,fire_screen,1,0.13339298125084878,46275.75196579738
great_grey_owl,great_grey_owl,great_grey_owl,great_grey_owl,19,0,0
triceratops,triceratops,triceratops,lighter,6,0.14950590754040213,37373.10767115842
bikini,maillot,bikini,bikini,12,0.15129534506586567,62108.41076698067
pug,pug,pug,lighter,3,0.17465389562147005,49951.30443742185
honeycomb,honeycomb,doormat,barrel,5,0.17825673635354172,44820.55515051102
electric_ray,electric_ray,electric_ray,fire_screen,0,0.22546113964802403,46704.12459301641
safety_pin,safety_pin,safety_pin,safety_pin,19,0,0
motor_scooter,sandal,tricycle,lighter,0,0.23471988113022152,58418.87094081843
leafhopper,leafhopper,leafhopper,leafhopper,19,0,0
drilling_platform,drilling_platform,drilling_platform,drilling_platform,19,0,0
badger,badger,badger,badger,19,0,0
agama,agama,agama,agama,19,0,0
artichoke,artichoke,artichoke,artichoke,19,0,0
park_bench,park_bench,park_bench,fountain,10,0.23937721183265565,23820.71573232005
promontory,promontory,promontory,promontory,19,0,0
breakwater,beacon,beacon,breakwater,4,0.24201343675856174,33787.335408404135
miniature_schnauzer,miniature_schnauzer,miniature_schnauzer,miniature_schnauzer,19,0,0
iPod,iPod,iPod,iPod,19,0,0
beer_bottle,beer_bottle,beer_bottle,beer_bottle,19,0,0
walking_stick,walking_stick,walking_stick,walking_stick,19,0,0
red-backed_sandpiper,red-backed_sandpiper,red-backed_sandpiper,redshank,5,0.2492910152661389,47460.94537617219
stingray,stingray,stingray,stingray,19,0,0
patas,patas,patas,titi,10,0.25593749750357486,50944.96727842702
padlock,padlock,military_uniform,torch,1,0.2609862676647041,40702.244323869905
black_swan,black_swan,black_swan,fire_screen,0,0.2686872398725026,37477.8055387452
submarine,submarine,submarine,submarine,19,0,0
pay-phone,pay-phone,pay-phone,pay-phone,19,0,0
mashed_potato,mashed_potato,mashed_potato,cauliflower,5,0.2713074876776456,16355.47785911497
space_bar,space_bar,space_bar,hourglass,0,0.2742712435791946,82084.80880772033
pirate,pirate,pirate,pirate,19,0,0
letter_opener,letter_opener,letter_opener,letter_opener,19,0,0
bearskin,bearskin,bearskin,bearskin,19,0,0
potter's_wheel,candle,dining_table,matchstick,0,0.27576510437054136,49124.02411244421
rhinoceros_beetle,rhinoceros_beetle,rhinoceros_beetle,rhinoceros_beetle,19,0,0
volcano,volcano,volcano,volcano,19,0,0
strawberry,strawberry,strawberry,lighter,2,0.2891459430096102,51760.91352555517
crib,crib,crib,crib,19,0,0
beaver,beaver,beaver,bubble,1,0.2961439219038337,42319.655256157275
tiger_beetle,tiger_beetle,tiger_beetle,tiger_beetle,19,0,0
patio,patio,patio,boathouse,3,0.2962317960680306,16479.073062523876
broccoli,broccoli,broccoli,lemon,17,0.29739013732335295,59518.004553244224
European_gallinule,European_gallinule,European_gallinule,matchstick,1,0.3027904041412697,59332.405395365524
soccer_ball,soccer_ball,soccer_ball,soccer_ball,19,0,0
bittern,bittern,bittern,bittern,19,0,0
parking_meter,clog,parking_meter,parking_meter,2,0.30980436015625623,32484.904555808687
football_helmet,football_helmet,football_helmet,football_helmet,19,0,0
marmot,mongoose,otter,fire_screen,0,0.31823229135877423,37743.100641044315
fig,fig,fig,fig,19,0,0
spaghetti_squash,spaghetti_squash,spaghetti_squash,lemon,1,0.3188154562666262,31222.586071624497
great_white_shark,hammerhead,great_white_shark,great_white_shark,1,0.31997379752194854,36532.77728287298
sandbar,sandbar,geyser,sandbar,9,0.32022144289377613,87829.27854081462
wolf_spider,wolf_spider,wolf_spider,wolf_spider,19,0,0
langur,pedestal,pedestal,lighter,1,0.3297198411874196,43194.538300576845
bee_eater,bee_eater,bee_eater,bee_eater,19,0,0
albatross,albatross,albatross,albatross,19,0,0
bobsled,bobsled,bobsled,bobsled,19,0,0
tobacco_shop,tobacco_shop,tobacco_shop,organ,0,0.3313495075052525,12884.77842261946
goldfinch,goldfinch,goldfinch,spider_web,3,0.3324838830794303,28498.257087057096
