Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
damselfly,dragonfly,dragonfly,0.6052986979484558,0.4293721616268158,0.9991550445556641,17,0.046106518270852895,13794.318758097479,59.671105
oscilloscope,space_bar,space_bar,0.30598267912864685,0.631134033203125,0.5148711204528809,17,0.05714436670214131,5311.951995265017,53.0494614
container_ship,fireboat,fireboat,0.5316019058227539,0.9953482747077942,0.9993792772293091,8,0.06719143247623244,14209.292487664543,26.747583200000008
cairn,Norwich_terrier,Norwich_terrier,0.4070758521556854,0.7468463182449341,0.8777084350585938,15,0.07062439075208167,13201.566119214796,48.69235189999998
steam_locomotive,steam_locomotive,steam_locomotive,0.9899240136146545,0.9994582533836365,0.9994988441467285,19,0,0,64.46199230000002
pillow,dishrag,dishrag,0.34643274545669556,0.8247413039207458,0.9591030478477478,5,0.07269028296493195,13706.50097581436,25.706494099999986
golfcart,golfcart,golfcart,0.9999985694885254,1.0,0.9999990463256836,19,0,0,58.73195750000002
soccer_ball,soccer_ball,soccer_ball,0.9781411290168762,0.9065105319023132,0.9991810917854309,19,0,0,53.518376099999955
parachute,parachute,lakeside,0.2845970094203949,0.25779908895492554,0.8795707821846008,5,0.07447754557581147,14758.078059151198,19.285380099999998
redbone,kit_fox,kit_fox,0.3210764229297638,0.43598923087120056,0.8067901730537415,2,0.07481461177743041,13849.101703720715,12.343999199999985
violin,violin,violin,0.9227921366691589,0.8399373292922974,0.8825296759605408,19,0,0,54.34353839999994
disk_brake,disk_brake,disk_brake,0.9997374415397644,0.9997895359992981,0.9999871253967285,19,0,0,54.49491969999997
crane,crane,crane,0.6443697810173035,0.9722899198532104,0.9838688969612122,19,0,0,53.833408299999974
jigsaw_puzzle,toyshop,crash_helmet,0.22569933533668518,0.25960874557495117,0.8582600355148315,11,0.07543845362274851,13018.00841142761,34.33297630000004
soccer_ball,jack-o'-lantern,jack-o'-lantern,0.2397002875804901,0.33791354298591614,0.8891191482543945,10,0.07549488458862025,13764.6782018324,32.901395200000024
sulphur_butterfly,sulphur_butterfly,yellow_lady's_slipper,0.8003512620925903,0.7872781157493591,0.9928905963897705,6,0.07555131137711253,14360.367996677522,23.650527200000056
green_lizard,green_snake,green_snake,0.48258650302886963,0.9448458552360535,0.9836652874946594,6,0.07557924346731808,14493.846314902059,22.41777509999997
safe,skunk,skunk,0.48990803956985474,0.9545558094978333,0.999995231628418,9,0.07561345719678744,13364.887766083186,29.908699100000035
water_tower,water_tower,water_tower,0.9976599216461182,0.9901621341705322,0.999941349029541,19,0,0,66.08954770000014
Border_terrier,soccer_ball,soccer_ball,0.44089800119400024,0.973868727684021,0.9974543452262878,15,0.0756425060697578,11316.207624465009,52.456394800000226
ski,umbrella,umbrella,0.21369299292564392,0.870211660861969,0.9484652280807495,9,0.07564934824607504,14432.987978932151,36.945592900000065
half_track,web_site,web_site,0.2978668510913849,0.9684922099113464,0.9765694737434387,5,0.07567155451268348,11059.03761635704,23.504507099999955
ruffed_grouse,partridge,partridge,0.44230639934539795,0.434729665517807,0.8179116249084473,5,0.07567155451268348,14147.124336768939,23.49439530000018
vine_snake,safety_pin,safety_pin,0.4342147707939148,0.9392988085746765,0.9879094958305359,19,0.07568635869042244,14431.834152317577,66.42749849999996
French_bulldog,Boston_bull,Boston_bull,0.4993799924850464,0.8962886333465576,0.9905656576156616,4,0.07570800455965299,14486.62924906964,19.862298399999872
weasel,black-footed_ferret,black-footed_ferret,0.4664649963378906,0.821763277053833,0.9473524689674377,14,0.07570800455965299,14483.894849107404,47.453126199999815
crane,lifeboat,lifeboat,0.3282400071620941,0.7394552230834961,0.9637863039970398,8,0.07570800455965299,15326.884256103718,28.58021930000018
hoopskirt,hoopskirt,hoopskirt,0.9588003158569336,0.9475713968276978,0.9567272067070007,19,0,0,55.75595629999998
obelisk,obelisk,obelisk,0.997943103313446,0.95822674036026,0.9968185424804688,19,0,0,55.41840060000004
lorikeet,custard_apple,custard_apple,0.3307318687438965,0.9742829203605652,0.9973094463348389,8,0.07570800455965299,13598.493372429168,36.925214000000096
planetarium,prison,library,0.4395707845687866,0.28024351596832275,0.9380921721458435,13,0.07574501473004781,13994.355219158902,46.644854900000155
dock,lifeboat,lifeboat,0.048868659883737564,0.8425759673118591,0.9934915900230408,16,0.07574501473004781,14407.936944614938,55.163131799999974
dragonfly,banjo,banjo,0.7590336203575134,0.8050300478935242,0.999982476234436,18,0.07574501473004781,11066.756073936029,66.74583840000014
hotdog,jackfruit,hotdog,0.40504804253578186,0.30824780464172363,0.959628164768219,10,0.07574501473004781,13633.060258063852,35.27392409999993
