Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,Averaged NC,L2 Distance,Generation Time
lampshade,table_lamp,table_lamp,0.48397403955459595,0.5118131637573242,0.820200502872467,14,0.06028528867422019,12801.451636435611,51.26642265500004
miniature_pinscher,miniature_pinscher,miniature_pinscher,0.5380294919013977,0.5613493323326111,0.967642068862915,19,0,0,68.0744348219996
crane,flamingo,flamingo,0.6743864417076111,0.5362322926521301,0.9681872725486755,8,0.06607596829669508,14546.974771408659,31.706438898000215
knot,knot,knot,0.9384265542030334,0.9240899682044983,0.9961793422698975,19,0,0,68.41273203899982
bonnet,stole,stole,0.5560000538825989,0.5266748070716858,0.967257022857666,2,0.07458893096114944,14613.738536048877,12.909264979
half_track,web_site,web_site,0.13717608153820038,0.9556972980499268,0.9579547047615051,5,0.07526547296396677,10841.26348725092,22.67925657199976
gasmask,power_drill,power_drill,0.16994021832942963,0.48543038964271545,0.993800699710846,10,0.07558036243041573,14264.306011860514,38.32057932999987
harp,harp,harp,0.9949946403503418,0.999795138835907,0.9974180459976196,19,0,0,68.0226753930001
sea_urchin,sea_urchin,marmot,0.25277525186538696,0.33172667026519775,0.9966386556625366,13,0.07562253871435762,13972.067241464307,48.616590590000214
slot,slot,slot,0.9997962117195129,0.9999823570251465,0.9999822378158569,19,0,0,68.48249195800008
sandbar,volcano,sandbar,0.27463722229003906,0.3150061070919037,0.7293210029602051,5,0.07567099438925817,14559.020399738438,22.88194750799994
crash_helmet,crash_helmet,crash_helmet,0.999687910079956,0.994989812374115,0.9999781847000122,19,0,0,68.48811177900006
ocarina,ocarina,ocarina,0.4306242763996124,0.5245401263237,0.9991652965545654,19,0,0,67.89814089099991
partridge,partridge,partridge,0.8300812244415283,0.42448052763938904,0.5581597685813904,19,0,0,67.99650513100005
red-breasted_merganser,red-breasted_merganser,red-breasted_merganser,0.9848794341087341,0.9916640520095825,0.9906308054924011,19,0,0,67.96112345699976
aircraft_carrier,aircraft_carrier,aircraft_carrier,0.9653610587120056,0.9893789887428284,0.9088996052742004,19,0,0,68.56349457799979
oxygen_mask,disk_brake,disk_brake,0.5673322081565857,0.6966041326522827,0.9987630844116211,18,0.07568523823270343,12878.922121047242,65.70890820800014
barracouta,barracouta,barracouta,0.9720669388771057,0.5910888910293579,0.9779717922210693,19,0,0,68.65941634299998
bubble,sulphur-crested_cockatoo,sulphur-crested_cockatoo,0.5877757668495178,0.6169261932373047,0.9999089241027832,10,0.07573705208772825,13472.58891230635,39.228187685000194
knot,seat_belt,seat_belt,0.5593570470809937,0.9981751441955566,0.9985546469688416,19,0.07573705208772825,6403.16234371736,68.50417603900041
revolver,revolver,revolver,0.7838394045829773,0.8915931582450867,0.9986963868141174,19,0,0,68.92740128099967
European_gallinule,American_coot,American_coot,0.9741763472557068,0.9898108243942261,0.8995949029922485,6,0.07580366990133161,13808.068872945269,26.683448675000363
banded_gecko,common_iguana,banded_gecko,0.5029575824737549,0.4889354109764099,0.9968475699424744,9,0.07580366990133161,13634.087464880075,36.20275605200004
bluetick,bluetick,German_short-haired_pointer,0.4231727719306946,0.4050769507884979,0.9901352524757385,4,0.07580366990133161,14248.300600422494,20.291246069999943
bassinet,bassinet,bassinet,0.8782979846000671,0.8797571659088135,0.975407063961029,19,0,0,68.35134710900002
odometer,odometer,odometer,0.9947227239608765,0.6131278276443481,0.9999600648880005,19,0,0,69.2285108189999
tarantula,matchstick,matchstick,0.3260461390018463,0.9161723852157593,0.9898778796195984,13,0.0758258758391994,13933.39100865256,49.97025614700033
