Original Prediction,Prediction 1,Prediction 2,Prediction 3,Iter Num,Averaged NC,L2 Distance
badger,badger,badger,fire_screen,1,3.994280190766822e-05,46869.98834008816
patas,meerkat,cougar,bubble,1,0.0005591992267073551,33890.353819339216
guacamole,guacamole,guacamole,broccoli,0,0.0006870161928118933,19841.961344584863
jigsaw_puzzle,cinema,spotlight,fire_screen,0,0.003299275437573395,49625.376532576556
bullfrog,jellyfish,bubble,beer_glass,1,0.017742592607386223,48421.61481198247
tree_frog,tree_frog,tree_frog,fire_screen,1,0.018365700317145846,45546.90935727692
basset,basset,basset,cleaver,1,0.02045870313710766,55295.02533682393
barracouta,barracouta,barracouta,barracouta,19,0,0
barracouta,barracouta,barracouta,window_screen,0,0.02240791187020187,42919.56836921825
stone_wall,stone_wall,stone_wall,stone_wall,19,0,0
langur,langur,langur,fountain,5,0.02313487086492143,60614.106691429515
basset,basset,basset,basset,19,0,0
stole,stole,stole,stole,19,0,0
partridge,partridge,partridge,partridge,19,0,0
steam_locomotive,steam_locomotive,steam_locomotive,fire_screen,0,0.023622173048194986,45878.93318288907
jersey,jersey,jersey,jersey,19,0,0
malinois,malinois,malinois,vacuum,6,0.024524880371308285,35452.34071256791
hoopskirt,hoopskirt,hoopskirt,hoopskirt,19,0,0
parking_meter,clog,parking_meter,parking_meter,1,0.025355690650987785,40181.47268331513
castle,castle,castle,fire_screen,1,0.025531438979381527,62087.76073430254
ballpoint,ballpoint,ballpoint,ballpoint,19,0,0
wire-haired_fox_terrier,wire-haired_fox_terrier,wire-haired_fox_terrier,bubble,0,0.02672173447623004,56513.12508612491
bassinet,bassinet,bassinet,bassinet,19,0,0
dam,dam,dam,dam,19,0,0
revolver,revolver,revolver,revolver,19,0,0
tusker,stingray,stingray,lighter,0,0.05341950327131548,47485.92902113214
flamingo,flamingo,flamingo,flamingo,19,0,0
ice_cream,trifle,ice_cream,ice_cream,2,0.05353134311665695,10083.87187542563
flute,flute,flute,oboe,0,0.054002668179167435,23952.32900993137
bassinet,bassinet,bassinet,bassinet,19,0,0
volcano,volcano,volcano,fire_screen,0,0.05469767293236086,55059.84348869873
gas_pump,gas_pump,gas_pump,gas_pump,19,0,0
maze,maze,maze,croquet_ball,0,0.06418808266562283,66649.9215378383
lifeboat,container_ship,container_ship,cab,2,0.0670559758425934,58496.99867514572
promontory,promontory,promontory,promontory,19,0,0
bullfrog,breastplate,bubble,bullfrog,1,0.06759120938815616,51119.57655341053
disk_brake,disk_brake,disk_brake,disk_brake,19,0,0
hamster,hamster,hamster,hamster,19,0,0
Polaroid_camera,Polaroid_camera,Polaroid_camera,water_jug,4,0.06885340192843847,54851.18746207779
rock_python,rock_python,rock_python,fire_screen,0,0.06915696722293675,36167.43742650286
ambulance,ambulance,ambulance,lens_cap,1,0.10492974061144442,58418.10652528889
Norfolk_terrier,Norfolk_terrier,Norfolk_terrier,Irish_terrier,2,0.10545698559662563,45591.228981022214
cloak,cloak,abaya,cloak,2,0.10659136117080341,41858.3020916998
barracouta,barracouta,barracouta,barracouta,19,0,0
spider_web,spider_web,spider_web,spider_web,19,0,0
disk_brake,disk_brake,disk_brake,disk_brake,19,0,0
chiton,chiton,chiton,shovel,0,0.10990661372913987,43807.499038406655
Boston_bull,Boston_bull,Boston_bull,Boston_bull,19,0,0
Saluki,Saluki,Saluki,Saluki,19,0,0
space_shuttle,space_shuttle,space_shuttle,space_shuttle,19,0,0
stole,stole,stole,gasmask,0,0.11029006462745349,48283.95464333882
picket_fence,picket_fence,picket_fence,gasmask,1,0.11223128480016616,47454.854293317556
sandal,sandal,nipple,web_site,1,0.12455763346887258,59406.85082547298
ping-pong_ball,ping-pong_ball,ping-pong_ball,lighter,12,0.12523666110130294,50178.93005037074
odometer,odometer,odometer,bubble,1,0.12562011199961656,44218.55423914264
dining_table,dining_table,dining_table,water_jug,0,0.12587574593182563,50779.89415113033
matchstick,matchstick,matchstick,matchstick,19,0,0
Appenzeller,Appenzeller,Appenzeller,window_screen,0,0.1274814465685139,38106.948054127875
power_drill,power_drill,hair_spray,power_drill,0,0.12754535505156617,69579.46349318886
keeshond,keeshond,keeshond,lighter,0,0.12954249514694957,46170.6129372353
crash_helmet,crash_helmet,crash_helmet,plunger,1,0.13046916815120746,62538.95507601642
fox_squirrel,fox_squirrel,fox_squirrel,lighter,9,0.13393620335679307,50825.971254861426
Pekinese,Pekinese,Pekinese,Pekinese,19,0,0
bustard,television,spotlight,lens_cap,0,0.14196470654023438,61614.85769682504
vase,vase,vase,vase,19,0,0
knot,knot,knot,knot,19,0,0
disk_brake,disk_brake,disk_brake,spider_web,2,0.14563145575535832,41217.824093467134
golfcart,golfcart,golfcart,golfcart,19,0,0
standard_poodle,standard_poodle,standard_poodle,standard_poodle,19,0,0
shopping_cart,shopping_cart,shopping_cart,window_screen,0,0.14668594572572077,48965.20528906215
ping-pong_ball,ping-pong_ball,ping-pong_ball,lighter,1,0.14701347670136364,50178.62686443303
