Original Prediction,Prediction 1,Prediction 2,Prediction 3,Iter Num,Averaged NC,L2 Distance
suspension_bridge,traffic_light,suspension_bridge,suspension_bridge,11,0.0,14302.579802259452
limpkin,abacus,limpkin,limpkin,13,0.0,12835.419938591804
lifeboat,crane,lifeboat,lifeboat,11,0.0,14700.729607743964
black-and-tan_coonhound,black-and-tan_coonhound,black-and-tan_coonhound,black-and-tan_coonhound,19,0,0
lakeside,seashore,lakeside,lakeside,6,7.988560381533644e-06,14519.416827131867
banjo,digital_watch,banjo,banjo,16,1.5977120763067287e-05,13114.99302325396
matchstick,sea_urchin,matchstick,matchstick,3,3.1954241526134575e-05,14556.81527670115
table_lamp,lampshade,table_lamp,table_lamp,2,0.00011982840572300466,14794.218025972174
hen-of-the-woods,Sussex_spaniel,hen-of-the-woods,hen-of-the-woods,2,0.00034350809640594667,13784.106209689477
sandbar,water_bottle,sandbar,sandbar,13,0.0003674737775505476,14764.270452684073
pirate,jigsaw_puzzle,pirate,pirate,17,0.0006630505116672924,13089.856034349652
revolver,hand_blower,revolver,revolver,17,0.0006630505116672924,15614.207600771804
tree_frog,tree_frog,tree_frog,tree_frog,19,0,0
hammerhead,hammerhead,hammerhead,hammerhead,19,0,0
candle,eggnog,candle,candle,5,0.0007029933135749607,14293.671886537762
potter's_wheel,potter's_wheel,Indian_cobra,potter's_wheel,2,0.000718970434338028,14075.574233401634
broccoli,mortar,broccoli,broccoli,11,0.0007349475551010952,14081.383064173775
hair_slide,hair_slide,abacus,hair_slide,7,0.0007669017966272298,13043.213599416365
knot,knot,knot,knot,19,0,0
beer_bottle,pop_bottle,beer_bottle,beer_bottle,12,0.0007748903570087635,13777.065253529141
harp,organ,harp,harp,17,0.0007908674777718308,12530.080446669128
maze,sulphur_butterfly,maze,maze,15,0.0013101239025715176,14044.625235299089
wire-haired_fox_terrier,wire-haired_fox_terrier,Lakeland_terrier,wire-haired_fox_terrier,10,0.0014059866271499213,14088.360727920051
picket_fence,picket_fence,picket_fence,picket_fence,19,0,0
malinois,Rhodesian_ridgeback,malinois,malinois,8,0.0018693231292788728,14587.617797296445
lynx,lion,hare,lynx,4,0.0019412201727126756,14488.932155269415
tick,eft,tick,tick,3,0.0021409341822510165,14544.050673729103
mousetrap,ocarina,mousetrap,mousetrap,14,0.002460476597512362,13392.346060343572
pay-phone,pay-phone,safe,pay-phone,12,0.002492430839038497,12991.280768269155
cup,cup,cup,cup,19,0,0
maraca,hair_slide,maraca,maraca,12,0.002708121969339905,14341.310923343095
oxcart,oxcart,oxcart,oxcart,19,0,0
hippopotamus,hippopotamus,hippopotamus,hippopotamus,19,0,0
harp,harp,harp,harp,19,0,0
web_site,web_site,web_site,web_site,19,0,0
prayer_rug,mosque,prayer_rug,prayer_rug,12,0.003211401273376525,13975.347365987009
custard_apple,goldfinch,custard_apple,custard_apple,5,0.0033551953602441306,14516.973995981394
butternut_squash,spatula,butternut_squash,butternut_squash,8,0.0035069780074932695,13402.029212026066
broccoli,cup,broccoli,broccoli,7,0.003514966567874803,14630.247332154026
carton,photocopier,carton,carton,0,0.003546920809400938,12935.675552517541
patio,patio,patio,church,18,0.003818531862373082,12282.108858009686
barrow,barrow,shopping_cart,barrow,2,0.0038345089831361492,14270.454512733642
snail,isopod,snail,snail,18,0.005408255378298277,14605.613475646958
suspension_bridge,passenger_car,suspension_bridge,suspension_bridge,7,0.00541624393867981,14424.23717220429
Loafer,jean,jean,Loafer,5,0.005432221059442878,14133.421135733555
safety_pin,safety_pin,safety_pin,safety_pin,19,0,0
wire-haired_fox_terrier,Bedlington_terrier,Bedlington_terrier,wire-haired_fox_terrier,6,0.005440209619824411,14028.927863525423
hotdog,cheeseburger,hotdog,hotdog,9,0.005480152421732079,14525.287467034861
banjo,banjo,banjo,banjo,19,0,0
lacewing,ear,lacewing,lacewing,10,0.005552049465165882,13193.175508572604
waffle_iron,waffle_iron,French_loaf,waffle_iron,0,0.005663889310507353,14334.882455046501
submarine,dock,submarine,submarine,18,0.005663889310507353,13892.066764884194
four-poster,sliding_door,four-poster,four-poster,9,0.005679866431270421,14388.602677119137
triceratops,triceratops,parachute,triceratops,12,0.0057038321124150216,14504.107245880388
Norwich_terrier,cairn,Norwich_terrier,Norwich_terrier,14,0.0060153859672948335,13174.086571751379
lacewing,cricket,lacewing,lacewing,6,0.0069660246526973375,14808.17490442357
paper_towel,purse,paper_towel,paper_towel,0,0.0069660246526973375,13520.728049923939
wardrobe,plate_rack,wardrobe,wardrobe,4,0.0070379216961311405,14736.7452308846
maraca,hair_slide,maraca,maraca,3,0.008451896883662595,493.11154924621263
dung_beetle,dragonfly,dung_beetle,dung_beetle,2,0.008475862564807196,14052.469782924281
revolver,holster,revolver,revolver,10,0.00877143929892394,14527.96159135892
face_powder,face_powder,face_powder,face_powder,19,0,0
hip,maraca,hip,hip,16,0.009202821559526758,12013.571450655296
