Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,L2 Distance
7,7,3,1.0,1.0,0.9010639190673828,0,679.3268727203422
7,7,5,1.0,1.0,1.0,3,392.7136361268857
7,7,2,1.0,1.0,0.9999997615814209,0,1041.5690087555408
7,7,4,1.0,1.0,1.0,2,399.98624976366375
3,2,2,0.5559474229812622,0.9999949932098389,0.9999942779541016,0,437.6425482057246
7,7,2,1.0,1.0,0.9999649524688721,1,423.88677733564657
7,7,2,1.0,1.0,0.5426038503646851,1,293.7243605831835
7,2,2,0.6111997961997986,0.9905714988708496,0.9638640284538269,0,421.65151487928983
7,7,2,0.9999982118606567,0.9992473125457764,0.8345088958740234,0,691.2409131409975
7,2,2,0.9993719458580017,0.9999896287918091,1.0,0,402.8175765777854
7,2,2,0.9999613761901855,1.0,1.0,0,376.9588836995356
4,7,2,0.9804428219795227,1.0,0.8357686996459961,2,469.49760382775116
7,7,2,0.9999973773956299,1.0,0.9999879598617554,0,717.2217230396748
7,2,2,0.9984422326087952,1.0,1.0,0,383.7251620626409
7,7,2,1.0,1.0,1.0,0,1192.5711718803202
7,2,2,0.9758487939834595,1.0,0.9999997615814209,0,411.7049914684057
7,7,2,1.0,1.0,0.9999998807907104,1,402.19025348707794
7,7,2,1.0,1.0,1.0,1,412.7820248024373
7,7,2,1.0,1.0,0.9976975321769714,1,382.2760782471223
7,7,2,1.0,0.9890055060386658,0.9999967813491821,0,497.9437719261081
3,2,2,0.9999866485595703,1.0,0.9999986886978149,1,384.1757410352715
7,7,2,1.0,0.9999996423721313,0.7740944027900696,0,376.0890851912616
7,7,2,1.0,1.0,0.9999998807907104,0,460.5746410735181
7,7,2,0.9999998807907104,0.9999966621398926,0.9995310306549072,0,557.9542992037968
7,7,2,1.0,1.0,1.0,0,704.3315980417178
7,7,2,1.0,1.0,1.0,0,320.1640204645113
