Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,L2 Distance
8,8,4,0.9998891353607178,0.9999145269393921,0.6809266805648804,11,2312.261663393657
2,6,4,0.9580895900726318,0.9934618473052979,0.9998364448547363,1,2921.3589303610056
8,7,7,0.9937978386878967,0.9283731579780579,0.9914263486862183,0,3401.6382817695358
5,8,5,0.2234880030155182,0.4958259165287018,0.45989447832107544,0,1332.8469529544643
3,2,8,0.7702701091766357,0.46083012223243713,0.9955397248268127,0,1830.4715239522302
6,6,4,0.9942985773086548,0.9994282126426697,0.9988968372344971,0,4461.795602669401
8,0,0,0.46269169449806213,0.9993433356285095,0.8097028136253357,2,2769.3275357024854
8,4,4,0.9788313508033752,0.9825744032859802,0.9999996423721313,0,2428.8517863385573
3,4,4,0.8714408278465271,0.9987061023712158,0.9999951124191284,0,2889.8302718325863
8,8,4,0.9996583461761475,0.9912659525871277,0.9700999855995178,1,1928.6876367105172
8,9,9,0.9800407886505127,0.9996067881584167,0.9882314801216125,0,2256.4064350200742
8,8,4,0.9703801870346069,0.9377268552780151,0.7605542540550232,1,3023.4210755367835
3,3,8,0.9613633155822754,0.9778922200202942,0.571648895740509,0,2778.112848679837
2,2,4,0.6217401027679443,0.9985455274581909,0.8046962022781372,1,2095.66433380921
8,8,4,0.7378936409950256,0.9971957206726074,0.758192241191864,4,2613.429356229091
8,8,4,0.7712372541427612,0.6378530263900757,0.5612685680389404,0,1383.0213302765796
8,9,4,0.9592770338058472,0.8438831567764282,0.9999740123748779,0,2450.6831700568723
2,2,8,0.8652071356773376,0.9999839067459106,0.9949468970298767,2,2025.2118407712314
8,1,1,0.9683883786201477,0.7908468842506409,0.9303022623062134,0,3293.4049249978357
8,9,9,0.9701307415962219,0.9996498823165894,0.7176077961921692,0,2727.7641027038976
8,2,8,0.7974147200584412,0.7283536195755005,0.698236882686615,0,2308.957123898146
8,0,0,0.6781527996063232,0.9986662864685059,0.8622086048126221,4,2583.390988603932
3,9,9,0.7949989438056946,0.9999980926513672,0.9995788931846619,0,2829.3986993705926
8,6,4,0.996404767036438,0.999485969543457,0.9981106519699097,1,2475.347046375518
