Prediction 1,Prediction 2,Prediction 3,Sureness 1,Sureness 2,Sureness 3,Iter Num,L2 Distance
2,2,8,0.9886887669563293,0.9999997615814209,0.5973633527755737,9,2976.496934317252
3,9,4,0.9649734497070312,0.7558935284614563,0.9999693632125854,0,2488.5674594031
3,2,4,0.8349165916442871,0.39146485924720764,0.9432772397994995,0,1701.096705069997
8,8,4,0.969200074672699,0.9735119938850403,0.5122933387756348,5,2054.0073028107763
5,5,8,0.5168401002883911,0.999868631362915,0.525082528591156,4,2677.7285149917643
2,2,4,0.9973369240760803,0.9999995231628418,0.988321840763092,2,2629.890682138708
8,1,1,0.7928279638290405,0.5783677697181702,0.9178163409233093,0,4025.3488047621413
3,9,9,0.9649864435195923,0.978217363357544,0.9996633529663086,0,4004.8283358965587
8,9,4,0.8563120365142822,0.745949387550354,0.9999972581863403,1,2873.7907021910974
4,8,8,0.2655550241470337,0.7829498648643494,0.4914056062698364,0,629.0651794528131
2,2,4,0.9995204210281372,0.9999997615814209,0.9968113303184509,2,2446.199501267221
8,8,4,0.8047733902931213,0.9064915180206299,0.6169013977050781,2,1569.5633150656904
3,9,9,0.6938132047653198,0.9999914169311523,0.9995831847190857,0,3095.553100820595
8,8,1,0.8131852746009827,0.8489997386932373,0.5518783330917358,0,1960.9561443336768
8,8,4,0.8336257338523865,0.7848427295684814,0.691987156867981,1,1822.707327027573
2,0,0,0.6474879384040833,0.9430334568023682,0.993681788444519,1,1985.0813585342037
8,8,4,0.8630721569061279,0.9522404670715332,0.9457107186317444,3,2190.0897241893995
8,8,4,0.9796499013900757,0.874058723449707,0.34345880150794983,0,2229.1792211484476
2,2,4,0.9484267830848694,0.9991421699523926,0.9875525236129761,1,2470.956899664581
3,5,9,0.5973202586174011,0.999969482421875,0.3884035348892212,1,2819.511305173292
5,5,9,0.8298046588897705,0.9999951124191284,0.6472446322441101,9,2520.948035957901
3,3,8,0.9999071359634399,0.999763548374176,0.9110195636749268,2,2331.7789346333843
3,3,8,0.9999830722808838,0.999976396560669,0.6115914583206177,2,2164.223186272617
8,0,0,0.5940136909484863,0.9082003235816956,0.9965078234672546,2,2209.3569200108886
2,0,0,0.8205040097236633,0.9831557273864746,0.8726710677146912,3,1061.8563933037274
8,9,9,0.8136473298072815,0.999955415725708,0.9880495667457581,1,3016.9123288554474
2,2,4,0.8248281478881836,0.9999552965164185,0.9436588287353516,2,2327.983676918719
6,6,4,0.983030378818512,0.9991064667701721,0.9992076754570007,1,3423.292128930863
8,4,4,0.9787499904632568,0.7494120001792908,0.9999998807907104,0,2408.549563534037
2,2,8,0.992660403251648,0.9998760223388672,0.9101842045783997,4,2775.9888328305647
8,8,4,0.9261699318885803,0.8328905701637268,0.5347451567649841,1,1354.6254094767305
3,3,4,0.8822563290596008,0.6305619478225708,0.7873246073722839,0,2035.082062227467
3,3,8,0.9999600648880005,0.9998610019683838,0.522057056427002,12,2063.6346575884018
3,5,5,0.5035462975502014,0.9863450527191162,0.8073322176933289,11,5069.205164520371
2,2,8,0.9897520542144775,0.9999998807907104,0.6699534058570862,5,2897.200890514843
8,6,4,0.8819472789764404,0.9999737739562988,0.9968019723892212,3,1729.4898091633845
8,9,9,0.9714383482933044,0.9966304898262024,0.838056206703186,1,2470.675413727995
8,8,4,0.7919735908508301,0.9374516606330872,0.6991001963615417,9,2045.0938853754367
2,2,4,0.9997218251228333,0.9999992847442627,0.643123984336853,11,2441.5882126189913
2,2,8,0.7233867049217224,0.853705883026123,0.5820215344429016,0,1322.6231511658943
8,4,4,0.9999680519104004,0.9630906581878662,0.9999979734420776,0,2820.333490919115
8,4,4,0.8772630095481873,0.6240730881690979,0.9999994039535522,0,2065.2576110500113
8,6,4,0.9918539524078369,0.9999991655349731,0.9996364116668701,4,3250.1733799906738
2,2,8,0.8240528106689453,0.999971866607666,0.984321117401123,2,2405.2051887520947
8,8,4,0.6864404678344727,0.9949085116386414,0.5697330236434937,10,2100.9788195029478
2,2,8,0.9901742935180664,0.9999982118606567,0.6889596581459045,2,2791.5139261698123
8,8,1,0.846337616443634,0.7259905934333801,0.39925166964530945,0,4809.1241406310155
8,1,8,0.9625650644302368,0.7069950699806213,0.46024036407470703,0,2396.618451068088
3,2,8,0.981444239616394,0.49172598123550415,0.903205931186676,0,1851.104805244695
8,0,0,0.7441785335540771,0.9999772310256958,0.9992423057556152,2,3026.546381603956
3,3,8,0.9999730587005615,0.9999943971633911,0.9884279370307922,2,1943.9251528801205
2,0,0,0.5779374837875366,0.9694029092788696,0.999992847442627,0,2754.678021112449
3,3,8,0.9997963309288025,0.9991675615310669,0.9385607242584229,0,2201.9566299089543
8,8,4,0.9769158959388733,0.9458494186401367,0.6165693402290344,4,2144.8906732045807
8,6,8,0.9803245663642883,0.9555373787879944,0.43780869245529175,1,4385.731181912544
3,7,8,0.9406999349594116,0.8234637379646301,0.5581282377243042,0,2670.5675426770244
2,2,0,0.9549110531806946,0.9983012080192566,0.4355427920818329,3,2457.7178438543347
3,2,8,0.601347029209137,0.3573356568813324,0.9901447296142578,0,1812.3818582186261
4,6,4,0.5547367334365845,0.7507181763648987,0.96978360414505,0,5028.435442560638
8,4,4,0.9320642352104187,0.922277569770813,1.0,0,2071.7391245038552
5,6,6,0.4169069528579712,0.9996356964111328,0.9978216886520386,1,4083.669673222848
8,8,4,0.913272500038147,0.9793549180030823,0.5787938833236694,3,1274.0192306240906
3,3,9,0.9998974800109863,0.9880544543266296,0.6376278400421143,2,2143.013999021005
6,6,4,0.596894383430481,0.9990977048873901,0.9648947715759277,2,3633.335107033206
3,9,9,0.6921513080596924,0.9997426867485046,0.9993139505386353,0,2233.7920673151293
8,4,4,0.9910428524017334,0.9971285462379456,0.9999998807907104,0,2853.742630301478
6,6,4,0.9025064706802368,0.9995697140693665,0.7818461060523987,1,4455.568201699981
8,4,4,0.9155892729759216,0.888236939907074,0.9999974966049194,0,2706.385966561311
8,8,4,0.9998356103897095,0.9996296167373657,0.6591868996620178,14,2286.1117645469567
3,7,8,0.7125572562217712,0.8626746535301208,0.8619582056999207,0,2279.0816132819814
8,9,9,0.9413038492202759,0.9989622831344604,0.9950661659240723,0,3645.615037274232
3,7,7,0.9078863263130188,0.9975244402885437,0.9959979057312012,0,3961.777631316528
3,9,8,0.9889362454414368,0.49816036224365234,0.9517068862915039,0,2163.8844701138737
8,8,4,0.97754967212677,0.9940298795700073,0.596346914768219,13,2603.785705468098
8,0,0,0.48176389932632446,0.9998295307159424,0.999800980091095,3,3773.77688794661
8,8,4,0.9599501490592957,0.9998739957809448,0.76228928565979,11,1005.1895343665293
3,9,9,0.7523050308227539,0.999908447265625,0.9839920401573181,1,2574.0256408979303
8,6,4,0.7297350764274597,0.9999890327453613,0.9319479465484619,1,3167.0516257238373
8,2,4,0.7093867659568787,0.5817755460739136,0.7839561104774475,0,1824.7183344286318
3,0,0,0.9243702292442322,0.9999715089797974,0.7562808394432068,2,3049.067890356002
3,9,9,0.986443281173706,0.9937463998794556,0.9825060367584229,0,2707.8768435805937
